session_code,participant_code,offer_price,transaction_price,discount,purchased,last_return,last_imbalance,informative,belief_informative,belief_confidence,return_forecast,forecast_confidence,investment_amount,age,gender,education,finance_course,fin_literacy_score
cbctgbhm,pjpncico,5,0,5,1.0,15.1098174886843,-18.5046274258981,1,1.0,4.0,2.0,3.0,30.0,22.0,male,highschool,0.0,3.0
cbctgbhm,13q93lzq,10,0,10,1.0,14.5282644745692,7.35487993020429,1,1.0,4.0,15.0,4.0,50.0,54.0,male,bachelor,0.0,3.0
cbctgbhm,699kl0nj,15,0,15,0.0,15.1098174886843,-18.5046274258981,1,,,15.0,2.0,60.0,24.0,male,bachelor,1.0,3.0
cbctgbhm,8eeu0tqk,5,3,2,1.0,15.6552619854883,-10.6145146455845,0,1.0,3.0,18.0,3.0,60.0,46.0,male,some_college,0.0,3.0
cbctgbhm,0zreh91w,10,3,7,1.0,14.5282644745692,7.35487993020429,1,1.0,3.0,15.0,3.0,20.0,29.0,male,bachelor,1.0,3.0
cbctgbhm,k53ch1gp,15,3,12,1.0,15.3352032889933,8.30613918663683,0,0.0,2.0,20.0,3.0,30.0,21.0,male,bachelor,0.0,2.0
cbctgbhm,noohoxwe,10,6,4,1.0,14.5282644745692,7.35487993020429,1,1.0,3.0,22.0,3.0,94.0,28.0,male,some_college,0.0,3.0
cbctgbhm,n4c1bryb,15,6,9,1.0,15.6552619854883,-10.6145146455845,0,1.0,3.0,12.0,3.0,10.0,29.0,female,bachelor,0.0,3.0
cbctgbhm,zy59ly48,15,9,6,0.0,14.5282644745692,7.35487993020429,1,,,15.0,1.0,25.0,36.0,male,graduate,0.0,3.0
cbctgbhm,m9ek7y1s,5,0,5,1.0,15.6552619854883,-10.6145146455845,0,1.0,3.0,5.0,3.0,10.0,34.0,male,bachelor,0.0,3.0
cbctgbhm,5wngwyz8,10,0,10,1.0,14.5282644745692,7.35487993020429,1,1.0,3.0,18.0,3.0,30.0,28.0,male,bachelor,0.0,3.0
cbctgbhm,dw4h7t40,15,0,15,0.0,15.1098174886843,-18.5046274258981,1,,,38.0,4.0,60.0,20.0,female,highschool,1.0,3.0
cbctgbhm,gecp6mgj,5,0,5,1.0,15.6552619854883,-10.6145146455845,0,1.0,5.0,7.0,5.0,10.0,30.0,male,graduate,1.0,3.0
cbctgbhm,9pbq2fb8,10,0,10,1.0,15.6552619854883,-10.6145146455845,0,1.0,1.0,3.0,1.0,100.0,51.0,male,graduate,0.0,2.0
cbctgbhm,xfm4qs3p,5,3,2,1.0,15.1098174886843,-18.5046274258981,1,1.0,2.0,15.0,3.0,0.0,32.0,male,bachelor,0.0,2.0
cbctgbhm,tdamcs1i,10,3,7,1.0,15.6552619854883,-10.6145146455845,0,0.0,1.0,10.0,1.0,20.0,39.0,male,bachelor,0.0,3.0
cbctgbhm,dvrk9vv8,15,3,12,1.0,15.3352032889933,8.30613918663683,0,0.0,2.0,5.0,2.0,20.0,58.0,female,graduate,0.0,3.0
cbctgbhm,oqscve55,10,6,4,0.0,15.6552619854883,-10.6145146455845,0,,,15.0,4.0,100.0,47.0,female,bachelor,0.0,3.0
cbctgbhm,0vxpwx4c,15,6,9,1.0,15.1098174886843,-18.5046274258981,1,1.0,5.0,0.0,5.0,0.0,28.0,male,some_college,1.0,3.0
cbctgbhm,jnf31vge,10,0,10,1.0,15.3352032889933,8.30613918663683,0,1.0,2.0,10.0,2.0,20.0,31.0,female,bachelor,0.0,3.0
cbctgbhm,dki17nmh,15,0,15,0.0,15.1098174886843,-18.5046274258981,1,,,3.0,1.0,10.0,37.0,male,bachelor,0.0,3.0
cbctgbhm,f28mui0p,5,0,5,1.0,15.6552619854883,-10.6145146455845,0,1.0,4.0,50.0,4.0,70.0,37.0,female,graduate,1.0,3.0
cbctgbhm,3lmhy08m,10,0,10,1.0,15.3352032889933,8.30613918663683,0,1.0,4.0,24.0,3.0,90.0,37.0,male,bachelor,0.0,3.0
cbctgbhm,h7d7xr6m,15,0,15,1.0,14.5282644745692,7.35487993020429,1,1.0,4.0,5.0,4.0,20.0,50.0,male,bachelor,1.0,3.0
cbctgbhm,8jp5whzx,5,3,2,1.0,15.1098174886843,-18.5046274258981,1,1.0,4.0,8.0,3.0,25.0,26.0,female,graduate,0.0,3.0
cbctgbhm,6b5f0go0,10,3,7,1.0,15.3352032889933,8.30613918663683,0,0.0,5.0,0.0,4.0,3.0,34.0,male,some_college,0.0,3.0
cbctgbhm,rh2hmdh5,15,3,12,0.0,15.3352032889933,8.30613918663683,0,,,30.0,3.0,15.0,38.0,female,highschool,0.0,3.0
cbctgbhm,g87oct84,10,6,4,0.0,15.6552619854883,-10.6145146455845,0,,,15.0,4.0,20.0,35.0,male,highschool,1.0,1.0
cbctgbhm,t8lqivot,15,6,9,0.0,14.5282644745692,7.35487993020429,1,,,20.0,3.0,10.0,35.0,male,graduate,1.0,3.0
cbctgbhm,b7c9mb4b,15,9,6,1.0,15.1098174886843,-18.5046274258981,1,1.0,3.0,15.0,1.0,20.0,27.0,female,bachelor,0.0,3.0
