prolific
"6a0315b62076e2e93c725db8, 1.98"
"6a12bf0b366723d739028ccb, 2.22"
"69dfba233431478474112c23, 1.91"
"69f23d45b2c8d656912ee84a, 2.18"
"6a22ba5dd922ac4ae29786fd, 2.06"
"677bf069c64e31606c2bd260, 2.11"
"676dda2e34757c5868ccd91e, 2.23"
"60cbd3ead9ef203f8e59d2c3, 1.93"
"6a08c0d947867c9d5657882b, 2.12"
"6934790f575322bf478eafc3, 2.05"
"6a09d8184f3f3f28310d3501, 2.16"
"69a396424c59826d1a132598, 1.91"
"6a23d70ef736539838055228, 2.05"
"6a10c0cc706d6029855602fa, 2.36"
"6537daf5f37c314e287c7895, 1.97"
"6a09fbb7695f4775dd014be2, 2.04"
"69eb9cf2c6d7a10a41b0aa86, 2.05"
"6a01acac7db3512bcfbbc5cd, 2.38"
"6672f90bec3bcf47c745e030, 1.92"
"6a21935e44fa7ca6cd47ffd1, 2.09"
"6a05df4d9ed540a28af23da7, 2.0"
"6a01daab2b02408aef749ccb, 2.26"
"6a08d7ebd6444314bbbf1112, 2.38"
"6a0465dbc4519ab0aa7db764, 2.1"
"69c72e6296385ebfb3882b46, 1.93"
"699a3063c873647e41089dfe, 1.99"
"69e25d3fbabe9fd54c52f3f1, 2.07"
"698d5b2a97685e002d118f6a, 2.09"
"6696aaf3828b394d388a6b8e, 2.07"
"69b84ff5029fc6b133575311, 1.82"
"6a259da9717883959f50137c, 2.05"
"6a0ef8132835009f548bb8e9, 2.15"
"6a2152ea56c8adb0cedd64f1, 2.04"
"69f122552aae63bfcbfdbdb9, 2.07"
"69eaf9067478de545dcf76df, 2.27"
"69da974b5579c441348bd35d, 2.29"
"69fc6cb2a1db60b9ac7f7dc7, 1.9"
"6a0500a382398e9f823857eb, 2.15"
"5b2426bb8b566f0001ba4610, 2.18"
"6a084928742bea092a160489, 2.04"
"69ed420a203f5e485f985d41, 2.17"
"69fa6b4f0e55888f5edc1c87, 1.99"
"6a3545c080442440acd59c43, 2.14"
"664003b962a847c71db3ebb0, 2.08"
"6a4561fbbb4344e0807eea7a, 2.27"
"5908ee77d4b33900015cb3f7, 2.03"
"6151556ef73ba765c7ff55f6, 2.17"
"69ca95a790c1d1aed071d5a1, 1.99"
"6a101b8d242422dd138e3d90, 1.89"
"6a0d2e69f3668b298724c4eb, 1.88"
"6a15dcd14c68c56fac0960da, 1.99"
"650867877da3f9be1d13231f, 2.11"
"6a180989aa16af733f575829, 2.22"
"62e94b3be07988f8f0f814ca, 2.07"
"6a11dc583c809ccf3e12767b, 2.33"
"66b0f7bcfcbb463cd46cb71f, 2.21"
"698cd43e00065b637782cc79, 2.0"
"69f1cef04898374f3c779ab0, 1.98"
"69ac96e9cf57af07fdd54227, 2.22"
"695ffc16f7f331eefb4713c5, 2.01"
"699f4a37111ddfd9e4c5d11a, 2.08"
"60a2286e51973ae842a306ea, 2.38"
"67307f87eac0c3717c72d175, 2.31"
"6a1602689050cce832321f97, 2.32"
"6609e31201eebc9f6a2de74b, 2.05"
"659c0682d109f8537a89fdd3, 2.14"
"69ffc6f620b31c75a8c503cc, 2.31"
"69e50de52946eb470117d257, 1.96"
"6a1d4bf511b4b7265338d0be, 2.07"
"6a11f89f62d2ed5f3cc85945, 2.19"
"6a0f77b1cd2695c45e1d0c12, 1.84"
"6a1de38369e39c20d2793963, 1.92"
"69d481835beb05c1208e60ad, 2.35"
"57f08d467f43070001c3a606, 2.34"
"69887fb9f7141b9545c84497, 2.28"
"699b7f9a312265478249af42, 1.84"
"69f5f249e367743b60390700, 2.31"
"6a0f4a69f9ccf5a7b2a53a31, 2.29"
"63ced2ac873e8ce2bfbd9f0f, 2.15"
"6a258a7d6e0347f651e254b9, 2.32"
"566a19b57da035000fb39b89, 2.15"
"6a1ad8acb7aacb2934685f0f, 1.98"
"69ed80361ac67e060ad6e85e, 2.1"
"6109eb08329f8084a5d35d03, 2.14"
"6a0677f5c189bdfa3dd7d1b3, 2.01"
"69aaf573d86186ca19a2fa16, 1.95"
"6a2326ce6854d87c39560626, 2.22"
"697d1aa75e4c8815242454f1, 2.37"
"58bfee7de5869400018f5e9e, 1.92"
"5f1122d775206730d77b60af, 2.2"
"56ca3e3237d66c000c59a891, 2.1"
"662fd031c601697b79d63114, 1.91"
"637e3bedd8c3601a81a65889, 2.17"
"69ff927ac8072cb33ce2b0da, 1.98"
"63f6f02fe8066bd918051664, 1.93"
"654e3926a9f47dd3e0bd5471, 2.04"
"69addf9be216ca97500a2d53, 2.12"
"6a21eae4e7b372b3b41cc914, 1.95"
"616cf6f2576b89d81101bfe4, 2.05"
"607ca741fd54ce0bd3846328, 2.05"
"69c3272a73c8676aa3154115, 1.83"
"696e46a86969ef2d97ba2031, 2.06"
"6a05c37ffa65471def84e817, 2.22"
"69f3b6fec7c01b3f3e05ab91, 2.22"
"6a208ba6361624243018660b, 2.2"
"5fbf90f025a567296d943c7e, 2.36"
"6a088e7440d1e9c6b2686a19, 2.22"
"668586ed7dfc30f7480c57af, 1.84"
"6a01836a5b9dd1d277f9bb9b, 2.19"
"69f0facfb34205fe685cfb63, 2.01"
"6a11e96e121c58edac86d8ae, 1.98"
"6a01a8e1bf13461cf466e130, 2.02"
"69baa27614b2c61d994a5fcc, 2.08"
"6a240ec290b04eee3edfa5e8, 2.07"
"69da8c5734ba606b7cc6311c, 2.37"
"6a1efb874a0367053a5fa11f, 1.93"
"5a2175a6c3e60a0001780c63, 1.96"
"69f0cbf0be525433d7e504b9, 2.1"
"5d31bb8d67f7280001cd1159, 2.23"
"6a29385457b72b27f1c09694, 2.16"
"66e42249ff3f1be588b9bf04, 1.9"
"6a1c22ac307c89dd3e6eabfc, 2.1"
"6a1541afe4e83b6132b93ed8, 2.19"
"614dd9c7fe3afb375e947a27, 2.11"
"674b8d22f0b8762b40a36278, 1.95"
"6a16ce3667d00e038d3d2167, 2.19"
"65dd39a3a41d2ed79a980537, 2.15"
"69ff3750d7ab3e31e2098bdd, 2.39"
"699f801368dd0751386fb1a7, 1.88"
"69d4658829219da9607fcf49, 2.08"
"6053e01a6a8e8516ba7d47a7, 1.96"
"6a0dcfa2952820761016b669, 1.8"
"6a06ffdfba5ebd8e537a426b, 2.27"
"66fdadbaa3ff5e732278ad0e, 2.29"
"6a03661682fc04bc1402568f, 2.16"
"6767e7f3e5207336bfda8591, 2.02"
"6a02a3d567b030856033eb52, 2.25"
"69f0a7be0a69ac3dce6ba042, 1.98"
"69f904dced13443d34e72288, 2.04"
"6a062356e11b977c2d0a0eef, 2.03"
"65f886037fc6f6212c9c41b1, 2.21"
"69f2580d7ec093c43cd1569a, 2.18"
"6a00f09c620dea6cc23366dc, 2.06"
"691371c5d552995298408398, 1.78"
"6a0b4fa8c69b7f8c74ef1238, 2.03"
"6507276e3e03370dcf6b1ffd, 2.44"
"6a00dbf1a704d2b901583edb, 2.39"
"69862abbaa02cf8c414e57cb, 2.05"
"6a0494def069f2bf1fbabec6, 2.0"
"67e0870d582edce0a2764d1f, 2.14"
"6a170a6fd2b89769586920dd, 2.0"
"69efd6151ba08c73e53425b8, 2.07"
"6a05d361e5c107c390a6e223, 2.09"
"6a1cfdd862ec2668a66d9180, 2.0"
"672569f544e290655c0ed766, 2.17"
"611f6757f935f97babc092c5, 2.1"
"6a0aa037f7816b7befeb15e6, 2.23"
"6a19f16350864508dd2ceab3, 2.08"
"571b728d5d40840011c3d9df, 2.1"
"6a0cc6e51edbdde036765eaa, 2.17"
"6a1c712ee592da9b94f02f92, 2.22"
