participant.id_in_session,participant_code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,round_number,player.series_round,player.session_name,condition,player.block_order,player.trade_payoff,player.payable_round,data_available,pay_for_data,player.ack_brokerage_fee,round_type,investment_amount,return_forecast,forecast_confidence,belief_informative,belief_confidence,realized_return,informative,investment_payoff,cumulative_bonuses,round_payoff,player.self_assesment,group.id_in_subsession,subsession.round_number,subsession.training,session_code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,treated,paid_round
2,ttbhrq7x,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:02.785387,1,,,125.21,2,,96.96,3,8,,treatment,,0.0,10,1,1.0,,paid_data,5.0,17.0,3.0,1.0,3.0,19.2982240105404,0.0,95.96,1.0,96.96,,1,3,0,9vfoiax5,,,,,0,1,1
3,h6ra9n61,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:04.680764,1,,,144.01,3,,97.18,3,7,,treatment,,0.0,8,1,1.0,,free_data,80.0,20.0,3.0,1.0,5.0,-4.77007384032043,1.0,96.18,1.0,97.18,,1,3,0,9vfoiax5,,,,,0,1,0
4,4tucoz6l,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:07.603497,1,,,119.79,4,,98.6,3,18,,treatment,,0.0,6,1,1.0,,paid_data,20.0,25.0,2.0,1.0,3.0,17.9942787562462,0.0,98.6,0.0,98.6,,1,3,0,9vfoiax5,,,,,0,1,1
5,47cbw4kl,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:07.882773,1,,,141.4,5,,97.84,3,13,,treatment,,0.0,10,1,1.0,,paid_data,15.0,20.0,2.0,1.0,3.0,12.2928746925969,1.0,96.84,1.0,97.84,,1,3,0,9vfoiax5,,,,,0,1,1
6,w1hg4dq2,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:08.230442,1,,,121.45,6,,102.36,3,19,,treatment,,0.0,18,1,1.0,,free_data,5.0,15.0,2.0,0.0,2.0,27.2611152781865,0.0,101.36,1.0,102.36,,1,3,0,9vfoiax5,,,,,0,1,0
7,2am1bt7m,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:08.487174,1,,,118.16,7,,102.21,3,9,,treatment,,0.0,14,1,1.0,,free_data,5.0,12.0,3.0,1.0,3.0,24.2659454381039,1.0,101.21,1.0,102.21,,1,3,0,9vfoiax5,,,,,0,1,0
8,f0dtgw15,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:08.729020,1,,,129.55,8,,114.5,3,18,,treatment,,0.0,5,1,1.0,,free_data,75.0,25.0,3.0,0.0,4.0,17.9942787562462,0.0,113.5,1.0,114.5,,1,3,0,9vfoiax5,,,,,0,1,0
9,gtr4o4u4,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:09.330479,1,,,126.75,9,,96.0,3,11,,treatment,,0.0,3,1,1.0,,paid_data,0.0,5.0,2.0,0.0,4.0,37.6588629338984,0.0,95.0,1.0,96.0,,1,3,0,9vfoiax5,,,,,0,1,1
10,edlvyy4x,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:09.368408,1,,,131.35,10,,101.85,3,9,,treatment,,0.0,6,1,1.0,,paid_data,20.0,20.0,5.0,1.0,5.0,24.2659454381039,1.0,99.85,2.0,101.85,,1,3,0,9vfoiax5,,,,,0,1,1
11,454urtzl,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:09.375937,1,,,149.46,11,,95.12,3,20,,treatment,,0.0,8,1,1.0,,paid_data,10.0,4.0,5.0,1.0,4.0,-8.79848578409706,1.0,94.12,1.0,95.12,,1,3,0,9vfoiax5,,,,,0,1,1
12,y7r9sa4u,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:10.658299,1,,,119.6,12,,101.0,3,5,,treatment,,0.0,15,1,0.0,,free_data,0.0,12.0,3.0,1.0,3.0,-11.0647641062684,1.0,100.0,1.0,101.0,,1,3,0,9vfoiax5,,,,,0,1,0
13,pm665xdw,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:10.667922,1,,,125.96,13,,99.96,3,15,,treatment,,0.0,16,1,1.0,,free_data,5.0,12.0,3.0,1.0,2.0,-0.723989516491677,0.0,99.96,0.0,99.96,,1,3,0,9vfoiax5,,,,,0,1,0
14,qgszrtu9,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:11.147052,1,,,121.99,14,,104.89,3,8,,treatment,,0.0,3,1,1.0,,free_data,15.0,18.0,3.0,0.0,4.0,19.2982240105404,0.0,102.89,2.0,104.89,,1,3,0,9vfoiax5,,,,,0,1,0
15,0z4ddbix,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:11.337225,1,,,143.86,15,,112.09,3,18,,treatment,,0.0,10,1,1.0,,paid_data,95.0,4.0,4.0,1.0,5.0,17.9942787562462,0.0,112.09,0.0,112.09,,1,3,0,9vfoiax5,,,,,0,1,1
16,t6rthajw,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:12.015053,1,,,132.66,16,,101.79,3,8,,treatment,,0.0,10,1,1.0,,paid_data,30.0,20.0,2.0,1.0,2.0,19.2982240105404,0.0,100.79,1.0,101.79,,1,3,0,9vfoiax5,,,,,0,1,1
17,wel7w6gg,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:13.709515,1,,,155.98,17,,97.85,3,4,,treatment,,0.0,18,1,1.0,,paid_data,5.0,15.0,4.0,1.0,4.0,16.9752110267725,1.0,95.85,2.0,97.85,,1,3,0,9vfoiax5,,,,,0,1,1
18,u4dpd5wy,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:14.397432,1,,,122.85,18,,102.86,3,10,,treatment,,0.0,14,1,1.0,,free_data,10.0,20.0,1.0,1.0,2.0,28.6089312735897,0.0,102.86,0.0,102.86,,1,3,0,9vfoiax5,,,,,0,1,0
19,y3uiqp3t,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:14.803975,1,,,133.98,19,,111.3,3,11,,treatment,,0.0,16,1,1.0,,free_data,30.0,15.0,4.0,1.0,4.0,37.6588629338984,0.0,111.3,0.0,111.3,,1,3,0,9vfoiax5,,,,,0,1,0
20,atqtlu6a,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:15.002851,1,,,126.01,20,,100.91,3,19,,treatment,,0.0,14,1,1.0,,paid_data,18.0,18.0,2.0,0.0,2.0,27.2611152781865,0.0,99.91,1.0,100.91,,1,3,0,9vfoiax5,,,,,0,1,1
21,cuq5iz33,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:15.286301,1,,,111.24,21,,104.6,3,18,,treatment,,0.0,15,1,1.0,,free_data,20.0,15.0,2.0,1.0,3.0,17.9942787562462,0.0,103.6,1.0,104.6,,1,3,0,9vfoiax5,,,,,0,1,0
22,4yux8e22,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:16.409415,1,,,121.61,22,,97.36,3,19,,treatment,,0.0,16,1,1.0,,paid_data,5.0,25.0,4.0,1.0,4.0,27.2611152781865,0.0,96.36,1.0,97.36,,1,3,0,9vfoiax5,,,,,0,1,1
23,f291tr7u,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:17.330849,1,,,136.85,23,,116.45,3,19,,treatment,,0.0,4,1,1.0,,paid_data,75.0,17.0,3.0,0.0,3.0,27.2611152781865,0.0,115.45,1.0,116.45,,1,3,0,9vfoiax5,,,,,0,1,1
24,w3cukoe0,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:23.181196,1,,,123.6,24,,105.29,3,10,,treatment,,0.0,17,1,1.0,,free_data,15.0,17.0,4.0,0.0,4.0,28.6089312735897,0.0,104.29,1.0,105.29,,1,3,0,9vfoiax5,,,,,0,1,0
26,4zd5ned9,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:26.439460,1,,,135.3,26,,101.52,3,12,,treatment,,0.0,16,0,0.0,,paid_data,5.0,11.0,3.0,,,30.3829281992374,1.0,101.52,0.0,101.52,,1,3,0,9vfoiax5,,,,,0,1,1
27,mknb67le,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:27.321536,1,,,130.06,27,,101.45,3,5,,treatment,,0.0,15,1,1.0,,free_data,5.0,-8.0,2.0,1.0,2.0,-11.0647641062684,1.0,99.45,2.0,101.45,,1,3,0,9vfoiax5,,,,,0,1,0
28,sp03734d,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:30.219444,1,,,128.17,28,,96.75,3,11,,treatment,,0.0,13,1,1.0,,paid_data,2.0,10.0,3.0,0.0,4.0,37.6588629338984,0.0,95.75,1.0,96.75,,1,3,0,9vfoiax5,,,,,0,1,1
29,m7hitpc7,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:32.107936,1,,,139.39,29,,99.89,3,5,,treatment,,0.0,15,1,1.0,,free_data,10.0,10.0,3.0,1.0,3.0,-11.0647641062684,1.0,98.89,1.0,99.89,,1,3,0,9vfoiax5,,,,,0,1,0
30,92y585sb,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:32.444838,1,,,122.81,30,,100.3,3,13,,treatment,,0.0,6,1,1.0,,paid_data,35.0,21.5,4.0,1.0,5.0,12.2928746925969,1.0,99.3,1.0,100.3,,1,3,0,9vfoiax5,,,,,0,1,1
31,ki9t1ots,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:33.838151,1,,,113.81,31,,103.73,3,19,,treatment,,0.0,19,1,1.0,,free_data,10.0,14.0,3.0,0.0,2.0,27.2611152781865,0.0,102.73,1.0,103.73,,1,3,0,9vfoiax5,,,,,0,1,0
32,8ygvklh3,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:35.859366,1,,,149.01,32,,104.53,3,3,,treatment,,0.0,17,1,1.0,,free_data,15.0,20.0,5.0,1.0,5.0,16.8775714200622,1.0,102.53,2.0,104.53,,1,3,0,9vfoiax5,,,,,0,1,0
33,j6pfvo4x,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:41.745324,1,,,129.0,33,,101.88,3,11,,treatment,,0.0,13,1,1.0,,free_data,5.0,16.0,1.0,1.0,2.0,37.6588629338984,0.0,101.88,0.0,101.88,,1,3,0,9vfoiax5,,,,,0,1,0
34,mrwqmc94,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:04:49.104405,1,,,140.54,34,,100.56,3,12,,treatment,,0.0,8,1,1.0,,paid_data,15.0,18.0,3.0,1.0,4.0,30.3829281992374,1.0,99.56,1.0,100.56,,1,3,0,9vfoiax5,,,,,0,1,1
35,8lotxa0v,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:05:04.989442,1,,,142.84,35,,86.64,3,20,,treatment,,0.0,19,1,1.0,,paid_data,95.0,16.0,3.0,0.0,3.0,-8.79848578409706,1.0,86.64,0.0,86.64,,1,3,0,9vfoiax5,,,,,0,1,1
36,zy0t07g5,,0,71,70,post_exp,FinalForProlific,2026-08-24 19:05:06.605976,1,,,137.36,36,,118.99,3,18,,treatment,,0.0,6,1,1.0,,free_data,100.0,20.0,4.0,1.0,4.0,17.9942787562462,0.0,117.99,1.0,118.99,,1,3,0,9vfoiax5,,,,,0,1,0
