participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.consent,player.condition,player.user_agent_browser,player.user_agent_browser_version,player.user_agent_os,player.user_agent_os_version,player.user_agent_device,player.user_agent_is_bot,player.user_agent_is_mobile,player.user_agent_is_tablet,player.user_agent_is_pc,player.attention_check,player.attention_check_passed,player.q1,player.q2,player.q3,player.q4,player.q5,player.q6,player.self_assesment,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,39286x4x,,0,0,51,,,,0,,,0.0,1,,0.0,,control,,,,,,,,,,,,,,,,,,,n6kd31jj,,,,,1
1,wuytu5vq,5c2b9ce5b337310001996c05,0,51,51,post_exp,FinalForProlific,2026-01-21 17:16:04.922847,1,,,121.02,1,,0.0,1,control,Chrome,144.0.0,Windows,10,Other,0,0,0,1,third_option,1,,,,,,,7,sskpoqqf,,,,,0
2,4vz1bbvv,66758888b7b775b5c2d18658,0,51,51,post_exp,FinalForProlific,2026-01-21 17:27:07.182980,1,,,107.59,2,,0.0,1,treatment,Chrome,143.0.0,Windows,10,Other,0,0,0,1,third_option,1,,,,,,,5,sskpoqqf,,,,,0
3,md5qafxx,67eec9e200be02ad51843d9b,0,51,51,post_exp,FinalForProlific,2026-01-21 17:27:35.456070,1,,,111.02,3,,0.0,1,treatment,Chrome,143.0.0,Windows,10,Other,0,0,0,1,third_option,1,,,,,,,4,sskpoqqf,,,,,0
4,7iyqmsf6,,0,0,51,,,,0,,,0.0,4,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
5,kjkt8iq1,,0,0,51,,,,0,,,0.0,5,,0.0,,control,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
6,5lmyjvt3,,0,0,51,,,,0,,,0.0,6,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
7,1x0g81wa,,0,0,51,,,,0,,,0.0,7,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
8,k1cf9vy0,,0,0,51,,,,0,,,0.0,8,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
9,8rzz0t2j,,0,0,51,,,,0,,,0.0,9,,0.0,,control,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
10,31ndjom1,,0,0,51,,,,0,,,0.0,10,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
11,vp9kvvvp,,0,0,51,,,,0,,,0.0,11,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
12,ynz7qt4f,,0,0,51,,,,0,,,0.0,12,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
13,9jx6s432,,0,0,51,,,,0,,,0.0,13,,0.0,,control,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
14,8agvnqmv,,0,0,51,,,,0,,,0.0,14,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
15,jksnxnss,,0,0,51,,,,0,,,0.0,15,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
16,1kvf1ona,,0,0,51,,,,0,,,0.0,16,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
17,2y071hqk,,0,0,51,,,,0,,,0.0,17,,0.0,,control,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
18,9bi4n66c,,0,0,51,,,,0,,,0.0,18,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
19,fq40lrs2,,0,0,51,,,,0,,,0.0,19,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
20,wf504y3f,,0,0,51,,,,0,,,0.0,20,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
21,eo8o4cn6,,0,0,51,,,,0,,,0.0,21,,0.0,,control,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
22,23aohpao,,0,0,51,,,,0,,,0.0,22,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
23,nr0mq23u,,0,0,51,,,,0,,,0.0,23,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
24,j1q0mpoo,,0,0,51,,,,0,,,0.0,24,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
25,eoc6xcm5,,0,0,51,,,,0,,,0.0,25,,0.0,,control,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
26,4dtlhndd,,0,0,51,,,,0,,,0.0,26,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
27,nrfsebvw,,0,0,51,,,,0,,,0.0,27,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
28,jb4tchyt,,0,0,51,,,,0,,,0.0,28,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
29,lun0sn3g,,0,0,51,,,,0,,,0.0,29,,0.0,,control,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
30,e6z8sm38,,0,0,51,,,,0,,,0.0,30,,0.0,,treatment,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
1,ucfi2ipq,,0,3,51,intro,comprehensionQuestions,2026-01-21 17:31:00.378730,1,,,0.0,1,,0.0,1,control,Edge,143.0.0,Mac OS X,10.15.7,Mac,0,0,0,1,,,,,,,,,,w3iy07zl,,,,,1
1,t6nfv5tc,,0,1,4,intro,Consent,2026-01-21 17:53:33.386718,1,,,0.0,1,,0.0,,control,Edge,143.0.0,Mac OS X,10.15.7,Mac,0,0,0,1,,,,,,,,,,63fp2jtm,,,,,1
1,7zwj4qvb,,0,0,4,,,,0,,,0.0,1,,0.0,,control,,,,,,,,,,,,,,,,,,,xf36xqac,,,,,1
1,2etlxb88,,0,2,4,intro,Instructions,2026-01-21 18:11:12.159062,1,,,0.0,1,,0.0,1,control,Edge,143.0.0,Mac OS X,10.15.7,Mac,0,0,0,1,,,,,,,,,,upuc3vod,,,,,1
1,v997vgi1,62c08fa6cab36e3a08790b49,0,51,51,post_exp,FinalForProlific,2026-01-21 18:27:46.916161,1,,,115.22,1,,0.0,1,control,Edge,143.0.0,Windows,10,Other,0,0,0,1,third_option,1,,,,,,,9,tmjewif2,,,,,0
2,alx03mq1,65293fa9b73b0edd4fd93b95,0,3,51,intro,comprehensionQuestions,2026-01-21 18:27:55.138428,1,,,0.0,2,,0.0,1,treatment,Chrome,143.0.0,Mac OS X,10.15.7,Mac,0,0,0,1,,,,,,,,,,tmjewif2,,,,,0
3,bliuy10b,5b9dd07de671c60001226b79,0,51,51,post_exp,FinalForProlific,2026-01-21 18:27:55.747910,1,,,119.39,3,,0.0,1,treatment,Firefox,147.0,Windows,10,Other,0,0,0,1,third_option,1,,,,,,,1,tmjewif2,,,,,0
