participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.payable_round,player.payoff_for_trade,player.hl_switch_point,player.hl_draw_row,player.hl_draw_option,player.hl_draw_random,player.savings_interest,player.inflation_effect,player.bid_price_definition,player.mortgage_comparison,player.asset_fluctuations,player.investment_risk,player.long_term_returns,player.stock_mutual_fund_loss,player.bid_ask_spread,player.mutual_fund_statements,player.bond_investment,player.credit_card_payment,player.num_quiz_questions,player.num_correct_answers,player.payoff_for_quiz,player.payoff_for_quiz_expected,player.gender,player.age,player.nationality,player.education,player.study_major,player.course_financial,player.experiment_before,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,player.purpose,player.difficulty,player.pilot_difficulty,player.pilot_instruction_clarity,player.pilot_unclear_open,player.pilot_payoff_understanding,player.pilot_interface_clarity,player.pilot_tech_issues,player.pilot_tech_issues_desc,player.pilot_flow_unsure_steps,player.pilot_one_change,player.pilot_surprises_mismatch,player.pilot_missing_info,player.pilot_confusing_wording,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,39286x4x,,0,0,51,,,,0,,,0.0,1,,0.0,5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,n6kd31jj,,,,,1
1,wuytu5vq,5c2b9ce5b337310001996c05,0,51,51,post_exp,FinalForProlific,2026-01-21 17:16:04.922847,1,,,121.02,1,,121.02,8,0.0,8,2,A,0.05729247251210212,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Bonds,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Between 10 and 15 years,12,10,2.5,3.0,Male,38,Canada,high-school graduate,Other,0,0,1,0,Less than once a month,Monthly,"Derivatives (Options, Futures)",No,The learn the financial literacy of the population.,No.,,,,,,,,,,,,,sskpoqqf,,,,,0
2,4vz1bbvv,66758888b7b775b5c2d18658,0,51,51,post_exp,FinalForProlific,2026-01-21 17:27:07.182980,1,,,107.59,2,,107.59,14,0.0,6,3,A,0.2747261427055113,More than $112,Less than today,The price you personally choose when submitting a buy order.,True,Stocks,Decrease,Bonds,True,The average of the bid price and the ask price.,Mutual funds pay a guaranteed rate of return which depends on their past performance,She has lent money to firm B,Between 10 and 15 years,12,7,1.75,3.0,Female,48,Canada,master,Other,1,1,1,1,Monthly,Daily,Stocks,No,"I have no idea, but I really enjoyed it!",None at all. Good luck with your research!,,,,,,,,,,,,,sskpoqqf,,,,,0
3,md5qafxx,67eec9e200be02ad51843d9b,0,51,51,post_exp,FinalForProlific,2026-01-21 17:27:35.456070,1,,,111.02,3,,111.02,6,0.0,5,2,A,0.9483201798260064,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,Don't know / Not sure,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She owns a part of firm B,Between 10 and 15 years,12,9,2.25,3.0,Female,65,United States,high-school graduate,Other,0,1,0,0,Less than once a month,Less than once a month,,Do not know,understanding finance and investing,no issues,,,,,,,,,,,,,sskpoqqf,,,,,0
4,7iyqmsf6,,0,0,51,,,,0,,,0.0,4,,0.0,13,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
5,kjkt8iq1,,0,0,51,,,,0,,,0.0,5,,0.0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
6,5lmyjvt3,,0,0,51,,,,0,,,0.0,6,,0.0,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
7,1x0g81wa,,0,0,51,,,,0,,,0.0,7,,0.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
8,k1cf9vy0,,0,0,51,,,,0,,,0.0,8,,0.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
9,8rzz0t2j,,0,0,51,,,,0,,,0.0,9,,0.0,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sskpoqqf,,,,,0
