,participant.id_in_session,participant_code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,round_number,player.session_name,player.condition,player.block_order,player.trade_payoff,player.payable_round,data_available,pay_for_data,player.ack_brokerage_fee,player.round_type,investment_amount,return_forecast,player.telemetry_payload,belief_informative,player.realized_return,informative,player.investment_payoff,player.cumulative_bonuses,player.round_payoff,player.self_assesment,subsession.training,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo,treated,paid_round,fin_quiz,gender_female,finance_course,age,trading_experience,risk_aversion,high_education,self_literacy,overconfidence,paid_dummy,investment_share,last_imbalance_1,last_return_1,last_imbalance_2,last_return_2,last_imbalance_3,last_return_3,next_return,imb_difference,return_difference
0,1,v997vgi1,62c08fa6cab36e3a08790b49,0,51,51,post_exp,FinalForProlific,2026-01-21 18:27:46.916161,1,,,115.22,1,,103.24,3.0,,control,,0.0,8.0,1.0,-1.0,,free_data,20.0,5.0,"[{""type"":""page-load"",""detail"":{""path"":""/p/v997vgi1/main/Trade/12""},""ts"":""2026-01-21T18:31:34.814Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:31:40.696Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:31:42.498Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-0"",""type"":""radio""},""ts"":""2026-01-21T18:31:48.259Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-0"",""type"":""radio""},""ts"":""2026-01-21T18:31:48.259Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:31:51.447Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:31:52.357Z""},{""type"":""click"",""detail"":{""tag"":""BUTTON"",""name"":null,""id"":null,""type"":""submit""},""ts"":""2026-01-21T18:31:54.822Z""},{""type"":""form-submit"",""detail"":{},""ts"":""2026-01-21T18:31:54.823Z""}]",1.0,16.2241467682678,0.0,103.24,0.0,103.24,,0,tmjewif2,,,,,0,0,0,1.0,0,1.0,70.0,1.0,5.0,1,9.0,-0.09999999999999998,0,20.0,8.9505230568529,3.1022221271053,6.74366919495589,12.2756606991691,-15.0472222177225,17.397905680854,16.2241467682678,2.2068538618970095,-9.1734385720638
1,3,bliuy10b,5b9dd07de671c60001226b79,0,51,51,post_exp,FinalForProlific,2026-01-21 18:27:55.747910,1,,,119.39,3,,104.87,3.0,,treatment,,0.0,8.0,0.0,0.0,,paid_data,30.0,6.0,"[{""type"":""page-load"",""detail"":{""path"":""/p/bliuy10b/main/Trade/12""},""ts"":""2026-01-21T18:32:20.884Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:32:25.033Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:32:26.516Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:32:27.972Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:32:37.476Z""},{""type"":""click"",""detail"":{""tag"":""BUTTON"",""name"":null,""id"":null,""type"":""submit""},""ts"":""2026-01-21T18:32:42.184Z""},{""type"":""form-submit"",""detail"":{},""ts"":""2026-01-21T18:32:42.184Z""}]",,16.2241467682678,0.0,104.87,0.0,104.87,,0,tmjewif2,,,,,0,1,1,0.9166666666666666,0,0.0,26.0,1.0,6.0,0,1.0,-0.8166666666666667,0,30.0,8.9505230568529,3.1022221271053,6.74366919495589,12.2756606991691,-15.0472222177225,17.397905680854,16.2241467682678,2.2068538618970095,-9.1734385720638
2,4,2gx4jb4v,615ddab1e4f013092538b6c5,0,51,51,post_exp,FinalForProlific,2026-01-21 18:27:58.494245,1,,,110.47,4,,100.0,3.0,,treatment,,0.0,12.0,0.0,0.0,,paid_data,0.0,-8.0,"[{""type"":""page-load"",""detail"":{""path"":""/p/2gx4jb4v/main/Trade/12""},""ts"":""2026-01-21T18:48:09.032Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:48:24.827Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:48:29.419Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:48:31.674Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:48:40.114Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:49:02.394Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:49:05.001Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:49:06.904Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:49:07.984Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:49:08.884Z""},{""type"":""click"",""detail"":{""tag"":""BUTTON"",""name"":null,""id"":null,""type"":""submit""},""ts"":""2026-01-21T18:49:13.370Z""},{""type"":""form-submit"",""detail"":{},""ts"":""2026-01-21T18:49:13.371Z""}]",,16.2241467682678,0.0,100.0,0.0,100.0,,0,tmjewif2,,,,,0,1,1,0.75,0,0.0,62.0,0.0,6.0,1,1.0,-0.65,0,0.0,8.9505230568529,3.1022221271053,6.74366919495589,12.2756606991691,-15.0472222177225,17.397905680854,16.2241467682678,2.2068538618970095,-9.1734385720638
3,5,coqlio50,558b20eefdf99b7dfdbac3c9,0,51,51,post_exp,FinalForProlific,2026-01-21 18:28:01.983249,1,,,123.18,5,,106.49,3.0,,control,,0.0,8.0,1.0,-1.0,,free_data,40.0,2.0,"[{""type"":""page-load"",""detail"":{""path"":""/p/coqlio50/main/Trade/12""},""ts"":""2026-01-21T18:32:41.248Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:32:52.202Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:32:53.502Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-0"",""type"":""radio""},""ts"":""2026-01-21T18:32:57.830Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-0"",""type"":""radio""},""ts"":""2026-01-21T18:32:57.830Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:33:02.985Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:33:04.223Z""},{""type"":""click"",""detail"":{""tag"":""BUTTON"",""name"":null,""id"":null,""type"":""submit""},""ts"":""2026-01-21T18:33:06.774Z""},{""type"":""form-submit"",""detail"":{},""ts"":""2026-01-21T18:33:06.775Z""}]",1.0,16.2241467682678,0.0,106.49,0.0,106.49,,0,tmjewif2,,,,,0,0,0,0.8333333333333334,1,0.0,65.0,1.0,7.0,0,5.0,-0.33333333333333337,0,40.0,8.9505230568529,3.1022221271053,6.74366919495589,12.2756606991691,-15.0472222177225,17.397905680854,16.2241467682678,2.2068538618970095,-9.1734385720638
4,7,kjm1jsmv,66231fc6e1ecba676935943a,0,51,51,post_exp,FinalForProlific,2026-01-21 18:28:29.003607,1,,,129.41,7,,107.17,3.0,,treatment,,0.0,7.0,1.0,1.0,,paid_data,75.0,8.0,"[{""type"":""page-load"",""detail"":{""path"":""/p/kjm1jsmv/main/Trade/12""},""ts"":""2026-01-21T18:34:07.037Z""},{""type"":""right-click"",""detail"":{""x"":136,""y"":350,""target"":""P""},""ts"":""2026-01-21T18:34:11.717Z""},{""type"":""contextmenu"",""detail"":{""x"":138,""y"":350,""target"":""P""},""ts"":""2026-01-21T18:34:11.804Z""},{""type"":""copy"",""detail"":{""types"":[],""hasImage"":true,""hasFiles"":false},""ts"":""2026-01-21T18:34:12.277Z""},{""type"":""window-blur"",""detail"":{},""ts"":""2026-01-21T18:34:12.849Z""},{""type"":""window-focus"",""detail"":{},""ts"":""2026-01-21T18:34:14.501Z""},{""type"":""window-blur"",""detail"":{},""ts"":""2026-01-21T18:34:15.765Z""},{""type"":""window-focus"",""detail"":{},""ts"":""2026-01-21T18:34:34.721Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-0"",""type"":""radio""},""ts"":""2026-01-21T18:34:34.783Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-0"",""type"":""radio""},""ts"":""2026-01-21T18:34:34.783Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:34:42.564Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:34:44.472Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:34:48.520Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:34:49.481Z""},{""type"":""click"",""detail"":{""tag"":""BUTTON"",""name"":null,""id"":null,""type"":""submit""},""ts"":""2026-01-21T18:34:51.200Z""},{""type"":""form-submit"",""detail"":{},""ts"":""2026-01-21T18:34:51.201Z""}]",1.0,16.2241467682678,0.0,107.17,0.0,107.17,,0,tmjewif2,,,,,0,1,1,0.9166666666666666,0,1.0,39.0,1.0,5.0,1,5.0,-0.41666666666666663,1,78.94736842105263,8.9505230568529,3.1022221271053,6.74366919495589,12.2756606991691,-15.0472222177225,17.397905680854,16.2241467682678,2.2068538618970095,-9.1734385720638
5,8,k525s4y1,558fd02cfdf99b39cb035e5d,0,51,51,post_exp,FinalForProlific,2026-01-21 18:28:29.073263,1,,,111.15,8,,96.32,3.0,,treatment,,0.0,11.0,1.0,1.0,,paid_data,2.0,5.0,"[{""type"":""page-load"",""detail"":{""path"":""/p/k525s4y1/main/Trade/12""},""ts"":""2026-01-21T18:34:53.553Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:34:55.700Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:34:58.507Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:35:02.204Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-1"",""type"":""radio""},""ts"":""2026-01-21T18:35:03.885Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-1"",""type"":""radio""},""ts"":""2026-01-21T18:35:03.885Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:35:04.380Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:35:05.268Z""},{""type"":""click"",""detail"":{""tag"":""BUTTON"",""name"":null,""id"":null,""type"":""submit""},""ts"":""2026-01-21T18:35:05.856Z""},{""type"":""form-submit"",""detail"":{},""ts"":""2026-01-21T18:35:05.857Z""}]",0.0,16.2241467682678,0.0,95.32,1.0,96.32,,0,tmjewif2,,,,,0,1,1,0.8333333333333334,0,0.0,53.0,0.0,6.0,0,3.0,-0.5333333333333334,1,2.1052631578947367,8.9505230568529,3.1022221271053,6.74366919495589,12.2756606991691,-15.0472222177225,17.397905680854,16.2241467682678,2.2068538618970095,-9.1734385720638
6,9,5bwn9zov,628409abe8772d1f138b7f14,0,51,51,post_exp,FinalForProlific,2026-01-21 18:28:31.331280,1,,,115.68,9,,107.68,3.0,,control,,0.0,10.0,1.0,-1.0,,free_data,35.0,16.0,"[{""type"":""page-load"",""detail"":{""path"":""/p/5bwn9zov/main/Trade/12""},""ts"":""2026-01-21T18:34:15.824Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:34:34.359Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:34:36.458Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-1"",""type"":""radio""},""ts"":""2026-01-21T18:34:38.816Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-1"",""type"":""radio""},""ts"":""2026-01-21T18:34:38.816Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:34:39.616Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:34:44.514Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:34:45.544Z""},{""type"":""click"",""detail"":{""tag"":""BUTTON"",""name"":null,""id"":null,""type"":""submit""},""ts"":""2026-01-21T18:34:47.385Z""},{""type"":""form-submit"",""detail"":{},""ts"":""2026-01-21T18:34:47.385Z""}]",0.0,16.2241467682678,0.0,105.68,2.0,107.68,,0,tmjewif2,,,,,0,0,0,0.9166666666666666,1,0.0,52.0,0.0,9.0,1,1.0,-0.8166666666666667,0,35.0,8.9505230568529,3.1022221271053,6.74366919495589,12.2756606991691,-15.0472222177225,17.397905680854,16.2241467682678,2.2068538618970095,-9.1734385720638
7,11,1qa1nhqq,6143af8721d1445864c4f6c8,0,51,51,post_exp,FinalForProlific,2026-01-21 18:28:41.787507,1,,,105.57,11,,103.11,3.0,,treatment,,0.0,14.0,1.0,1.0,,paid_data,50.0,10.0,"[{""type"":""page-load"",""detail"":{""path"":""/p/1qa1nhqq/main/Trade/12""},""ts"":""2026-01-21T18:46:09.991Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:46:13.577Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:46:14.626Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-0"",""type"":""radio""},""ts"":""2026-01-21T18:46:17.356Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-0"",""type"":""radio""},""ts"":""2026-01-21T18:46:17.356Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:46:18.851Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:46:22.838Z""},{""type"":""click"",""detail"":{""tag"":""BUTTON"",""name"":null,""id"":null,""type"":""submit""},""ts"":""2026-01-21T18:46:27.190Z""},{""type"":""form-submit"",""detail"":{},""ts"":""2026-01-21T18:46:27.191Z""}]",1.0,16.2241467682678,0.0,103.11,0.0,103.11,,0,tmjewif2,,,,,0,1,1,0.6666666666666666,0,0.0,53.0,0.0,11.0,0,5.0,-0.16666666666666663,1,52.63157894736842,8.9505230568529,3.1022221271053,6.74366919495589,12.2756606991691,-15.0472222177225,17.397905680854,16.2241467682678,2.2068538618970095,-9.1734385720638
8,12,5gioryag,6632d4093ebf44b7fb54bd8b,0,51,51,post_exp,FinalForProlific,2026-01-21 18:28:42.051410,1,,,111.21,12,,97.43,3.0,,treatment,,0.0,12.0,1.0,1.0,,paid_data,15.0,15.0,"[{""type"":""page-load"",""detail"":{""path"":""/p/5gioryag/main/Trade/12""},""ts"":""2026-01-21T18:34:22.487Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:34:42.066Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:34:43.309Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-0"",""type"":""radio""},""ts"":""2026-01-21T18:34:44.978Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-0"",""type"":""radio""},""ts"":""2026-01-21T18:34:44.978Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:34:54.402Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:34:55.309Z""},{""type"":""click"",""detail"":{""tag"":""BUTTON"",""name"":null,""id"":null,""type"":""submit""},""ts"":""2026-01-21T18:34:57.024Z""},{""type"":""form-submit"",""detail"":{},""ts"":""2026-01-21T18:34:57.025Z""}]",1.0,16.2241467682678,0.0,97.43,0.0,97.43,,0,tmjewif2,,,,,0,1,1,0.9166666666666666,1,0.0,57.0,1.0,7.0,1,8.0,-0.11666666666666659,1,15.789473684210526,8.9505230568529,3.1022221271053,6.74366919495589,12.2756606991691,-15.0472222177225,17.397905680854,16.2241467682678,2.2068538618970095,-9.1734385720638
9,13,fa4pdqvw,63ea974c81ff0fffe7fb8613,0,51,51,post_exp,FinalForProlific,2026-01-21 18:28:46.679048,1,,,114.19,13,,108.11,3.0,,control,,0.0,10.0,1.0,-1.0,,free_data,50.0,1.0,"[{""type"":""page-load"",""detail"":{""path"":""/p/fa4pdqvw/main/Trade/12""},""ts"":""2026-01-21T18:37:33.184Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:37:41.247Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-21T18:37:42.213Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-0"",""type"":""radio""},""ts"":""2026-01-21T18:37:55.934Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-0"",""type"":""radio""},""ts"":""2026-01-21T18:37:55.934Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:38:00.266Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-21T18:38:10.661Z""},{""type"":""click"",""detail"":{""tag"":""BUTTON"",""name"":null,""id"":null,""type"":""submit""},""ts"":""2026-01-21T18:38:12.534Z""},{""type"":""form-submit"",""detail"":{},""ts"":""2026-01-21T18:38:12.536Z""}]",1.0,16.2241467682678,0.0,108.11,0.0,108.11,,0,tmjewif2,,,,,0,0,0,0.8333333333333334,1,0.0,61.0,0.0,7.0,1,3.0,-0.5333333333333334,0,50.0,8.9505230568529,3.1022221271053,6.74366919495589,12.2756606991691,-15.0472222177225,17.397905680854,16.2241467682678,2.2068538618970095,-9.1734385720638
