participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.session_name,player.condition,player.block_order,player.trade_payoff,player.payable_round,player.data_available,player.pay_for_data,player.ack_brokerage_fee,player.round_type,player.investment_amount,player.return_forecast,player.telemetry_payload,player.imbalance_informative,player.realized_return,player.imbalance_was_informative,player.investment_payoff,player.cumulative_bonuses,player.round_payoff,player.self_assesment,subsession.training,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,6wt574tn,668a6f07c623b9b9500b962f,0,3,52,intro,comprehensionQuestions,2026-01-12 11:58:17.222049,1,,,0.0,1,,0.0,,control,,0.0,11,1,,,training,,,,,,,0.0,0.0,,,1,461q1n1d,,,,,0
2,msi911c4,5f8ece6117db5206eafc8b73,0,52,52,post_exp,FinalForProlific,2026-01-12 12:08:06.099778,1,,,109.78,2,,0.0,,treatment,,0.0,4,1,,,training,50.0,10.0,[],1,29.7625447699681,1,0.0,0.0,0.0,,1,461q1n1d,,,,,0
3,ybu7wgc0,62a0de11fe1eb0f5e7a97389,0,52,52,post_exp,FinalForProlific,2026-01-12 12:42:59.794356,1,,,110.74,3,,0.0,,treatment,,0.0,6,1,,,training,10.0,12.0,[],1,29.7625447699681,1,0.0,0.0,0.0,,1,461q1n1d,,,,,0
4,t2whvuhh,5f2f03deec679e2cf4a992e6,0,52,52,post_exp,FinalForProlific,2026-01-12 12:43:17.998797,1,,,112.35,4,,0.0,,treatment,,0.0,9,1,,,training,50.0,7.0,[],1,29.7625447699681,1,0.0,0.0,0.0,,1,461q1n1d,,,,,0
5,9olw9405,5ecae23b40dae00008174c32,0,52,52,post_exp,FinalForProlific,2026-01-12 12:45:31.992880,1,,,118.42,5,,0.0,,control,,0.0,14,1,,,training,75.0,10.0,[],1,29.7625447699681,1,0.0,0.0,0.0,,1,461q1n1d,,,,,0
6,p9t04pw0,5ea159434ac916016387488e,0,52,52,post_exp,FinalForProlific,2026-01-12 12:46:57.010699,1,,,105.89,6,,0.0,,treatment,,0.0,6,1,,,training,10.0,-5.0,[],1,29.7625447699681,1,0.0,0.0,0.0,,1,461q1n1d,,,,,0
7,ccodk2rc,63d7f3f795d4674597d533a1,0,52,52,post_exp,FinalForProlific,2026-01-12 12:49:25.762528,1,,,118.07,7,,0.0,,treatment,,0.0,9,1,,,training,20.0,6.0,[],1,29.7625447699681,1,0.0,0.0,0.0,,1,461q1n1d,,,,,0
8,samrpio0,5ec79cbd44972a1fceed2719,0,52,52,post_exp,FinalForProlific,2026-01-12 12:51:01.062574,1,,,119.3,8,,0.0,,treatment,,0.0,6,1,,,training,10.0,10.0,[],0,29.7625447699681,1,0.0,0.0,0.0,,1,461q1n1d,,,,,0
9,iwejo55l,66c20b634a3b292d25596fbc,0,3,52,intro,comprehensionQuestions,2026-01-12 12:55:05.751367,1,,,0.0,9,,0.0,,control,,0.0,13,1,,,training,,,,,,,0.0,0.0,,,1,461q1n1d,,,,,0
10,j5394dae,60fd14512de6e8dab5242343,0,52,52,post_exp,FinalForProlific,2026-01-12 12:57:07.288139,1,,,115.87,10,,0.0,,treatment,,0.0,8,1,,,training,100.0,10.0,"[{""type"":""copy"",""detail"":{""types"":[],""hasImage"":true,""hasFiles"":false},""ts"":""2026-01-12T13:00:34.405Z""},{""type"":""window-blur"",""detail"":{},""ts"":""2026-01-12T13:00:35.515Z""},{""type"":""visibilitychange"",""detail"":{""state"":""hidden""},""ts"":""2026-01-12T13:00:35.734Z""},{""type"":""visibilitychange"",""detail"":{""state"":""visible""},""ts"":""2026-01-12T13:00:55.458Z""},{""type"":""window-focus"",""detail"":{},""ts"":""2026-01-12T13:00:55.482Z""},{""type"":""window-blur"",""detail"":{},""ts"":""2026-01-12T13:00:58.799Z""},{""type"":""visibilitychange"",""detail"":{""state"":""hidden""},""ts"":""2026-01-12T13:00:59.086Z""},{""type"":""visibilitychange"",""detail"":{""state"":""visible""},""ts"":""2026-01-12T13:01:10.547Z""},{""type"":""window-focus"",""detail"":{},""ts"":""2026-01-12T13:01:10.568Z""},{""type"":""window-blur"",""detail"":{},""ts"":""2026-01-12T13:01:29.916Z""},{""type"":""visibilitychange"",""detail"":{""state"":""hidden""},""ts"":""2026-01-12T13:01:30.232Z""},{""type"":""visibilitychange"",""detail"":{""state"":""visible""},""ts"":""2026-01-12T13:01:42.882Z""},{""type"":""window-focus"",""detail"":{},""ts"":""2026-01-12T13:01:42.896Z""},{""type"":""window-blur"",""detail"":{},""ts"":""2026-01-12T13:01:45.237Z""},{""type"":""visibilitychange"",""detail"":{""state"":""hidden""},""ts"":""2026-01-12T13:01:45.628Z""},{""type"":""visibilitychange"",""detail"":{""state"":""visible""},""ts"":""2026-01-12T13:01:56.708Z""},{""type"":""window-focus"",""detail"":{},""ts"":""2026-01-12T13:01:56.720Z""},{""type"":""window-blur"",""detail"":{},""ts"":""2026-01-12T13:02:02.675Z""},{""type"":""visibilitychange"",""detail"":{""state"":""hidden""},""ts"":""2026-01-12T13:02:03.126Z""},{""type"":""visibilitychange"",""detail"":{""state"":""visible""},""ts"":""2026-01-12T13:02:37.170Z""},{""type"":""window-focus"",""detail"":{},""ts"":""2026-01-12T13:02:37.188Z""},{""type"":""window-blur"",""detail"":{},""ts"":""2026-01-12T13:02:39.653Z""},{""type"":""visibilitychange"",""detail"":{""state"":""hidden""},""ts"":""2026-01-12T13:02:40.016Z""},{""type"":""visibilitychange"",""detail"":{""state"":""visible""},""ts"":""2026-01-12T13:02:56.491Z""},{""type"":""window-focus"",""detail"":{},""ts"":""2026-01-12T13:02:56.510Z""}]",0,29.7625447699681,1,0.0,0.0,0.0,,1,461q1n1d,,,,,0
11,i597wq6a,67eff0475e43d9a5390ff55e,0,52,52,post_exp,FinalForProlific,2026-01-12 12:57:25.610637,1,,,126.66,11,,0.0,,treatment,,0.0,11,1,,,training,50.0,10.0,[],1,29.7625447699681,1,0.0,0.0,0.0,,1,461q1n1d,,,,,0
12,ul2kc8gp,6661c9ae13d2c1b196d73a43,0,14,52,main,DataFeeDecision,2026-01-12 13:01:59.306032,1,,,111.58,12,,0.0,,treatment,,0.0,13,1,,,training,100.0,50.0,[],1,29.7625447699681,1,0.0,0.0,0.0,,1,461q1n1d,,,,,0
13,sgflujhv,63d3fc9de67e1179cdf0d080,0,3,52,intro,comprehensionQuestions,2026-01-12 13:04:09.707872,1,,,0.0,13,,0.0,,control,,0.0,11,1,,,training,,,,,,,0.0,0.0,,,1,461q1n1d,,,,,0
14,cfpzesdf,66f69dcc061074dacb886b52,0,52,52,post_exp,FinalForProlific,2026-01-12 13:06:55.036073,1,,,109.41,14,,0.0,,treatment,,0.0,11,1,,,training,20.0,20.0,"[{""type"":""right-click"",""detail"":{""x"":888.7592163085938,""y"":96.10986328125,""target"":""P""},""ts"":""2026-01-12T13:17:11.708Z""},{""type"":""contextmenu"",""detail"":{""x"":888,""y"":96,""target"":""P""},""ts"":""2026-01-12T13:17:11.708Z""},{""type"":""window-blur"",""detail"":{},""ts"":""2026-01-12T13:17:12.984Z""},{""type"":""visibilitychange"",""detail"":{""state"":""hidden""},""ts"":""2026-01-12T13:17:12.984Z""},{""type"":""visibilitychange"",""detail"":{""state"":""visible""},""ts"":""2026-01-12T13:17:19.706Z""},{""type"":""window-focus"",""detail"":{},""ts"":""2026-01-12T13:17:19.706Z""}]",1,29.7625447699681,1,0.0,0.0,0.0,,1,461q1n1d,,,,,0
15,emtejkbt,5d09edb73d40080001655677,0,52,52,post_exp,FinalForProlific,2026-01-12 13:12:41.689463,1,,,110.33,15,,0.0,,treatment,,0.0,9,1,,,training,10.0,5.0,[],1,29.7625447699681,1,0.0,0.0,0.0,,1,461q1n1d,,,,,0
16,9mnmq71z,58bb48b71c81f300014468a3,0,52,52,post_exp,FinalForProlific,2026-01-12 13:18:33.245847,1,,,137.52,16,,0.0,,treatment,,0.0,11,1,,,training,50.0,8.0,[],1,29.7625447699681,1,0.0,0.0,0.0,,1,461q1n1d,,,,,0
