participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.inner_round_number,player.session_name,player.condition,player.block_order,player.trade_payoff,player.payable_round,player.data_available,player.pay_for_data,player.ack_brokerage_fee,player.round_type,player.investment_amount,player.return_forecast,player.telemetry_payload,player.imbalance_informative,player.realized_return,player.imbalance_was_informative,player.investment_payoff,player.cumulative_bonuses,player.round_payoff,player.self_assesment,subsession.training,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,nb352xw9,CHAPKOVSKI,0,2,52,intro,Instructions,2026-01-13 12:19:32.125858,1,,,0.0,1,,0.0,1,,control,,0.0,11,1,,,training,,,,,,,0.0,0.0,,,1,4pnyq9ay,,,,,0
2,02dt41v2,,0,2,52,intro,Instructions,2026-01-13 12:19:57.501856,1,,,0.0,2,,0.0,1,,treatment,,0.0,3,1,,,training,,,,,,,0.0,0.0,,,1,4pnyq9ay,,,,,0
3,hrnibdd0,5c5ff87f8c0552000109d7de,0,2,52,intro,Instructions,2026-01-13 12:27:22.014726,1,,,0.0,3,,0.0,1,,treatment,,0.0,8,1,,,training,,,,,,,0.0,0.0,,,1,4pnyq9ay,,,,,0
4,0aiehn2r,5ebbc0b64fa5d7198e40eb2b,0,3,52,intro,comprehensionQuestions,2026-01-13 12:27:34.951269,1,,,0.0,4,,0.0,1,,treatment,,0.0,14,1,,,training,,,,,,,0.0,0.0,,,1,4pnyq9ay,,,,,0
5,72ynqf5l,695c0d0826bfa6a67f9d13ed,0,52,52,post_exp,FinalForProlific,2026-01-13 12:29:33.818757,1,,,120.24,5,,0.0,1,,control,,0.0,5,1,,,training,80.0,20.0,"[{""type"":""page-load"",""detail"":{""path"":""/p/72ynqf5l/main/Trade/6""},""ts"":""2026-01-13T12:34:05.736Z""},{""type"":""window-blur"",""detail"":{},""ts"":""2026-01-13T12:34:15.793Z""},{""type"":""window-focus"",""detail"":{},""ts"":""2026-01-13T12:34:17.213Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-13T12:34:28.983Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-13T12:34:38.223Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-13T12:34:38.723Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-1"",""type"":""radio""},""ts"":""2026-01-13T12:34:45.051Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-1"",""type"":""radio""},""ts"":""2026-01-13T12:34:45.051Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-13T12:34:54.962Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-13T12:35:01.988Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-13T12:35:02.751Z""},{""type"":""click"",""detail"":{""tag"":""BUTTON"",""name"":null,""id"":null,""type"":""submit""},""ts"":""2026-01-13T12:35:04.281Z""},{""type"":""form-submit"",""detail"":{},""ts"":""2026-01-13T12:35:04.282Z""}]",0,29.7625447699681,1,0.0,0.0,0.0,,1,4pnyq9ay,,,,,0
6,tenals7u,59a7cfeb7ff2320001ec59d9,0,49,52,post_exp,Demographics,2026-01-13 12:33:46.935134,1,,,1244.44,6,,0.0,1,,treatment,,0.0,11,1,,,training,20.0,-5.0,"[{""type"":""page-load"",""detail"":{""path"":""/p/tenals7u/main/Trade/6""},""ts"":""2026-01-13T12:45:25.142Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-13T12:46:28.634Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-13T12:46:32.640Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-1"",""type"":""radio""},""ts"":""2026-01-13T12:46:47.696Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-1"",""type"":""radio""},""ts"":""2026-01-13T12:46:47.697Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-13T12:46:50.462Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-13T12:47:12.477Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-13T12:47:13.543Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-13T12:47:21.496Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-13T12:47:22.473Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-13T12:47:23.324Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-13T12:47:24.011Z""},{""type"":""click"",""detail"":{""tag"":""BUTTON"",""name"":null,""id"":null,""type"":""submit""},""ts"":""2026-01-13T12:47:25.596Z""},{""type"":""form-submit"",""detail"":{},""ts"":""2026-01-13T12:47:25.599Z""}]",0,29.7625447699681,1,0.0,0.0,0.0,,1,4pnyq9ay,,,,,0
7,85sklq0c,5e1f7b5450f6aa0122fcef8b,0,6,52,main,Trade,2026-01-13 12:35:39.868372,1,,,0.0,7,,0.0,1,,treatment,,0.0,10,1,,,training,,,,,,,0.0,0.0,,,1,4pnyq9ay,,,,,0
8,aes53fug,60ddc62b071a009e0b0c2922,0,52,52,post_exp,FinalForProlific,2026-01-13 12:35:48.635523,1,,,121.64,8,,0.0,1,,treatment,,0.0,5,1,,,training,20.0,0.0,"[{""type"":""page-load"",""detail"":{""path"":""/p/aes53fug/main/Trade/6""},""ts"":""2026-01-13T12:42:48.883Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-13T12:43:18.455Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-13T12:43:19.469Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-0"",""type"":""radio""},""ts"":""2026-01-13T12:43:24.766Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-0"",""type"":""radio""},""ts"":""2026-01-13T12:43:24.766Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-13T12:43:25.750Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-13T12:43:28.357Z""},{""type"":""click"",""detail"":{""tag"":""BUTTON"",""name"":null,""id"":null,""type"":""submit""},""ts"":""2026-01-13T12:43:29.542Z""},{""type"":""form-submit"",""detail"":{},""ts"":""2026-01-13T12:43:29.544Z""}]",1,29.7625447699681,1,0.0,0.0,0.0,,1,4pnyq9ay,,,,,0
9,8tps2isy,6631997e0554bb6d25062fd4,0,52,52,post_exp,FinalForProlific,2026-01-13 12:39:37.543402,1,,,111.87,9,,0.0,1,,control,,0.0,3,1,,,training,10.0,3.0,"[{""type"":""page-load"",""detail"":{""path"":""/p/8tps2isy/main/Trade/6""},""ts"":""2026-01-13T12:49:56.865Z""},{""type"":""window-blur"",""detail"":{},""ts"":""2026-01-13T12:50:07.857Z""},{""type"":""window-focus"",""detail"":{},""ts"":""2026-01-13T12:51:06.422Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-1"",""type"":""radio""},""ts"":""2026-01-13T12:51:06.961Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-1"",""type"":""radio""},""ts"":""2026-01-13T12:51:06.961Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-13T12:51:48.098Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-13T12:51:50.146Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-13T12:51:57.791Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-13T12:51:58.352Z""},{""type"":""window-blur"",""detail"":{},""ts"":""2026-01-13T12:52:00.760Z""},{""type"":""window-focus"",""detail"":{},""ts"":""2026-01-13T12:52:00.839Z""},{""type"":""click"",""detail"":{""tag"":""BUTTON"",""name"":null,""id"":null,""type"":""submit""},""ts"":""2026-01-13T12:52:01.944Z""},{""type"":""form-submit"",""detail"":{},""ts"":""2026-01-13T12:52:01.945Z""}]",0,29.7625447699681,1,0.0,0.0,0.0,,1,4pnyq9ay,,,,,0
10,baicjhts,66fd3f6c93c24ecc119be354,0,52,52,post_exp,FinalForProlific,2026-01-13 13:39:22.662260,1,,,100.73,10,,0.0,1,,treatment,,0.0,10,1,,,training,0.0,0.0,"[{""type"":""page-load"",""detail"":{""path"":""/p/baicjhts/main/Trade/6""},""ts"":""2026-01-13T13:44:12.799Z""},{""type"":""window-blur"",""detail"":{},""ts"":""2026-01-13T13:44:15.357Z""},{""type"":""visibilitychange"",""detail"":{""state"":""hidden""},""ts"":""2026-01-13T13:44:15.660Z""},{""type"":""window-focus"",""detail"":{},""ts"":""2026-01-13T13:44:38.603Z""},{""type"":""visibilitychange"",""detail"":{""state"":""visible""},""ts"":""2026-01-13T13:44:38.603Z""},{""type"":""window-blur"",""detail"":{},""ts"":""2026-01-13T13:44:43.837Z""},{""type"":""window-focus"",""detail"":{},""ts"":""2026-01-13T13:44:43.924Z""},{""type"":""window-blur"",""detail"":{},""ts"":""2026-01-13T13:44:44.853Z""},{""type"":""window-focus"",""detail"":{},""ts"":""2026-01-13T13:45:02.633Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-13T13:45:02.699Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""investment_amount"",""id"":""id_investment_amount"",""type"":""text""},""ts"":""2026-01-13T13:45:04.684Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-0"",""type"":""radio""},""ts"":""2026-01-13T13:45:10.604Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""imbalance_informative"",""id"":""id_imbalance_informative-0"",""type"":""radio""},""ts"":""2026-01-13T13:45:10.604Z""},{""type"":""click"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-13T13:45:12.017Z""},{""type"":""input"",""detail"":{""tag"":""INPUT"",""name"":""return_forecast"",""id"":""id_return_forecast"",""type"":""text""},""ts"":""2026-01-13T13:45:12.079Z""},{""type"":""click"",""detail"":{""tag"":""BUTTON"",""name"":null,""id"":null,""type"":""submit""},""ts"":""2026-01-13T13:45:13.150Z""},{""type"":""form-submit"",""detail"":{},""ts"":""2026-01-13T13:45:13.150Z""}]",1,29.7625447699681,1,0.0,0.0,0.0,,1,4pnyq9ay,,,,,0
