participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.payable_round,player.payoff_for_trade,player.hl_switch_point,player.hl_draw_row,player.hl_draw_option,player.hl_draw_random,player.savings_interest,player.inflation_effect,player.bid_price_definition,player.mortgage_comparison,player.asset_fluctuations,player.investment_risk,player.long_term_returns,player.stock_mutual_fund_loss,player.bid_ask_spread,player.mutual_fund_statements,player.bond_investment,player.credit_card_payment,player.num_quiz_questions,player.num_correct_answers,player.payoff_for_quiz,player.payoff_for_quiz_expected,player.gender,player.age,player.nationality,player.education,player.study_major,player.course_financial,player.experiment_before,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,player.purpose,player.difficulty,player.pilot_difficulty,player.pilot_instruction_clarity,player.pilot_unclear_open,player.pilot_payoff_understanding,player.pilot_interface_clarity,player.pilot_tech_issues,player.pilot_tech_issues_desc,player.pilot_flow_unsure_steps,player.pilot_one_change,player.pilot_surprises_mismatch,player.pilot_missing_info,player.pilot_confusing_wording,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,nb352xw9,CHAPKOVSKI,0,2,52,intro,Instructions,2026-01-13 12:19:32.125858,1,,,0.0,1,,0.0,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4pnyq9ay,,,,,0
2,02dt41v2,,0,2,52,intro,Instructions,2026-01-13 12:19:57.501856,1,,,0.0,2,,0.0,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4pnyq9ay,,,,,0
3,hrnibdd0,5c5ff87f8c0552000109d7de,0,2,52,intro,Instructions,2026-01-13 12:27:22.014726,1,,,0.0,3,,0.0,8,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4pnyq9ay,,,,,0
4,0aiehn2r,5ebbc0b64fa5d7198e40eb2b,0,3,52,intro,comprehensionQuestions,2026-01-13 12:27:34.951269,1,,,0.0,4,,0.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4pnyq9ay,,,,,0
5,72ynqf5l,695c0d0826bfa6a67f9d13ed,0,52,52,post_exp,FinalForProlific,2026-01-13 12:29:33.818757,1,,,120.24,5,,120.24,5,0.0,3,4,B,0.032778446657298455,Less than $112,Don't know / Not sure,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,10,2.5,3.0,Male,26,Pakistan,PhD,Other,1,0,1,1,Weekly,Weekly,Cryptocurrencies,Yes,The purpose appears to assess financial knowledge and understanding of basic financial concepts.,Not really,4,5,"The purpose of this study appears to be to assess participants’ financial knowledge and understanding of basic financial concepts such as investing, risk, interest rates, credit, and financial products. The results can help researchers understand levels of financial literacy and how people make financial decisions.",3,2,No,No issues,I was never unsure,No changes,nothing difffered,No,No,4pnyq9ay,,,,,0
6,tenals7u,59a7cfeb7ff2320001ec59d9,0,49,52,post_exp,Demographics,2026-01-13 12:33:46.935134,1,,,1244.44,6,,1.5,11,0.0,7,2,A,0.3567562142810894,Less than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Bonds,True,Don't know / Not sure,Don't know / Not sure,She owns a part of firm B,Between 10 and 15 years,12,6,1.5,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4pnyq9ay,,,,,0
7,85sklq0c,5e1f7b5450f6aa0122fcef8b,0,6,52,main,Trade,2026-01-13 12:35:39.868372,1,,,0.0,7,,0.0,10,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4pnyq9ay,,,,,0
8,aes53fug,60ddc62b071a009e0b0c2922,0,52,52,post_exp,FinalForProlific,2026-01-13 12:35:48.635523,1,,,121.64,8,,121.64,5,0.0,6,5,A,0.16699735690676198,More than $112,Less than today,The most recent price at which the security traded.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,11,2.75,3.0,Male,39,United Kingdom,undergraduate: 2nd year,Other,0,0,1,1,Less than once a month,Less than once a month,Stocks,No,See how financially literate people are.,No nothing.,3,6,nothing was unclear,6,6,Yes,no issues,i was never unsure,no changes,nothing differed,no,no,4pnyq9ay,,,,,0
9,8tps2isy,6631997e0554bb6d25062fd4,0,52,52,post_exp,FinalForProlific,2026-01-13 12:39:37.543402,1,,,111.87,9,,111.87,3,0.0,7,6,A,0.367905940778099,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Bonds,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",None of the above,Between 10 and 15 years,12,9,2.25,3.0,Male,26,United States,high-school graduate,Other,0,0,0,0,Less than once a month,Less than once a month,Cryptocurrencies,Do not know,Understanding how much people understand stocks,No,6,7,Nothing was unclear,5,7,No,No issues,When making my investment decisions,No changes,Nothing differed,No,No,4pnyq9ay,,,,,0
10,baicjhts,66fd3f6c93c24ecc119be354,0,52,52,post_exp,FinalForProlific,2026-01-13 13:39:22.662260,1,,,100.73,10,,100.73,10,0.0,9,6,A,0.3212318269861685,Exactly $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Stay the same,Bonds,False,The difference between the lowest ask price and the highest bid price.,Don't know / Not sure,She owns a part of firm B,Between 10 and 15 years,12,5,1.25,3.0,Male,39,United Kingdom,high-school graduate,Other,0,0,1,0,Less than once a month,Less than once a month,Cryptocurrencies,No,To see if we can make money with the information provided,All good thanks,5,6,Nothing was unclear,5,7,No,No issues,I was never unsure,No Changes,Nothing differed,No,No,4pnyq9ay,,,,,0
11,e7ngb17q,5f1833a16e55c522eeaf4dbe,0,52,52,post_exp,FinalForProlific,2026-01-13 13:41:08.788415,1,,,107.3,11,,107.3,10,0.0,7,1,A,0.4868232216818691,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Female,58,United Kingdom,PhD,Other,0,0,0,0,Less than once a month,Less than once a month,Cryptocurrencies,No,not sure,no,4,6,nothing was unclear,6,7,Yes,no issues,I was never unsure,no changes,nothing differed,no,no,4pnyq9ay,,,,,0
12,8tiob781,558996f2fdf99b7ae47f5ed2,0,52,52,post_exp,FinalForProlific,2026-01-13 13:44:31.217544,1,,,118.02,12,,118.02,13,0.0,8,7,A,0.8739266625162749,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Male,39,United Kingdom,high-school graduate,Other,0,1,0,0,Less than once a month,Daily,Cryptocurrencies,No,If people were more likely to guess at a higher return if they thought the buy/sell information was accurate? I found it close to impossible to find an answer within +/-1% though and every round was a guess.,None,5,4,"I became confused after a few rounds if I was supposed to be guessing the return at the end of the day compared to the start of the day, or the return between the end of the day and the previous half hour. I settled on the difference over the last half hour, but the percentage returns were throwing me off.  ",5,4,No,No issues.,I wasn't unsure as such but I was kinda guessing my way through because I had no idea what the return was going to be. ,"Just to make it more clear if I'm supposed to be estimating the return at the end of the day compared to the start of the day, or the return over the last half hour.",Nothing differed. ,No.,No.,4pnyq9ay,,,,,0
13,10ba1h9i,673e222bdb1a35935b3075f1,0,52,52,post_exp,FinalForProlific,2026-01-13 13:45:11.395849,1,,,122.77,13,,122.77,3,0.0,8,9,B,0.16807475052331455,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Female,25,United States,master,Other,1,1,1,1,Weekly,Weekly,Cryptocurrencies,Yes,"To evaluate individual trading experience, investments, and forecasting the market, through data usage.","No, I did encounter any difficulty throughout the experiment. ",5,7,Nothing was unclear.,6,6,No,No issues.,I was never unsure.,No changes.,Nothing different.,No.,No.,4pnyq9ay,,,,,0
14,emikhd4s,5d542c3a5af5900019bc80c4,0,52,52,post_exp,FinalForProlific,2026-01-13 13:55:36.281484,1,,,107.1,14,,107.1,13,0.0,7,7,B,0.8676774976547291,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Female,51,United Kingdom,undergraduate: 3d year,Other,0,1,0,0,Less than once a month,Less than once a month,Stocks,No,ability to predict likely stock price movements,no,6,6,Nothing was unclear.,6,7,No,No issues.,I was never unsure.,No changes. ,Nothing differed. ,No.,No.,4pnyq9ay,,,,,0
15,izrq526l,5ad8dbe2e34a050001b83eac,0,52,52,post_exp,FinalForProlific,2026-01-13 13:57:46.418645,1,,,110.0,15,,110.0,9,0.0,11,4,A,0.06775181061874169,More than $112,Less than today,The most recent price at which the security traded.,True,Stocks,Decrease,Stocks,True,Don't know / Not sure,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She owns a part of firm B,Between 10 and 15 years,12,8,2.0,3.0,Female,58,United Kingdom,high-school graduate,Other,0,1,0,0,Less than once a month,Monthly,Stocks,No,to determine how people manage and consider risk when investing,no,4,7,Nothing was unclear,7,7,No,No issues,I was never unsure,No changes,Nothing differed,No,No,4pnyq9ay,,,,,0
16,gq6osmn7,59775e3831c84f0001d977b7,0,52,52,post_exp,FinalForProlific,2026-01-13 14:30:13.918982,1,,,110.24,16,,110.24,14,0.0,6,2,A,0.9718072136211465,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,Don't know / Not sure,None of the above,Between 10 and 15 years,12,6,1.5,3.0,Female,23,United Kingdom,undergraduate: 3d year,Other,0,0,0,0,Less than once a month,Monthly,Cryptocurrencies,No,testing financial knowledge,No,6,4,Nothing was unclear,4,5,Yes,No issues,I was never unsure,No changes,Nothing differed,No,No,4pnyq9ay,,,,,0
17,le9lwn4f,66855395948d6d88d5a55521,0,52,52,post_exp,FinalForProlific,2026-01-13 15:38:56.747084,1,,,108.24,17,,108.24,4,0.0,4,3,A,0.6212025713383247,More than $112,Less than today,The lowest price a seller is currently willing to accept.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Between 5 and 10 years,12,10,2.5,3.0,Male,37,United Kingdom,master,Other,0,1,1,1,Less than once a month,Weekly,Stocks,No,Financial knowledge,No,1,6,Nothing was unclear,5,6,No,No issues,I was never unsure,No changes,Nothing differed,No,No,4pnyq9ay,,,,,0
18,xlu1r0j7,5afc14a00b2d5f00015693b4,0,3,52,intro,comprehensionQuestions,2026-01-13 15:39:00.905584,1,,,0.0,18,,0.0,12,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4pnyq9ay,,,,,0
19,4phk9rhl,5c8cfc3772503f0001e9c965,0,9,52,main,Trade,2026-01-13 15:39:03.853931,1,,,0.0,19,,0.0,14,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4pnyq9ay,,,,,0
20,ynavroxb,66e8c6e99be9621d5b1ed1fa,0,52,52,post_exp,FinalForProlific,2026-01-13 15:39:39.270008,1,,,112.46,20,,112.46,3,0.0,5,3,A,0.6802966782982375,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Between 10 and 15 years,12,11,2.75,3.0,Male,51,United States,master,Finance,1,1,1,1,Less than once a month,Monthly,Stocks,Yes,"To measure financial literacy, risk preferences, and forecasting ability in a simulated trading environment.",no,4,7,Nothing was unclear.,7,7,Yes,No issues.,I was never unsure,No changes,Nothing differed,no,no,4pnyq9ay,,,,,0
21,nasyklay,5b826da908ee760001522a91,0,52,52,post_exp,FinalForProlific,2026-01-13 15:40:57.908129,1,,,115.21,21,,115.21,7,0.0,10,8,A,0.5728728335896289,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Male,23,United Kingdom,high-school graduate,Other,0,1,1,1,Weekly,Daily,Stocks,No,gathering peoples' opinions on how risky it is to trade under certain conditions.,no,6,7,Nothing was unclear.,7,7,No,No issues.,I was never unsure.,No changes.,Nothing differed.,No.,No.,4pnyq9ay,,,,,0
