prolific
"6a215752a155484c322dae18, 4.2"
"6a00dc49200488c52c09e666, 3.54"
"69b2e1f7c46a2d58800d4e92, 3.4"
"69ef7af401f65f406ca12641, 3.67"
"63d50bed33ba8cb1b9794938, 4.52"
"671a5785170a0f6380c51f28, 3.32"
"6a20a83fda68fa4733fe7147, 3.92"
"59a9c0291b7a550001d6392e, 3.38"
"6a087102490a86b035b41f9c, 4.11"
"66d40c57f897feb5421947d4, 3.52"
"6a1f03c7db3ac189886daa83, 4.0"
"67a91040bf728e35b7493957, 3.59"
"6a17804639c4e588a70562ae, 3.78"
"69f738d836d98271b8934f45, 3.92"
"69447887f465fef0f69bf56e, 3.79"
"6a19cd14a8951b68e7872287, 3.43"
"6a0f7bc47d616931dfb13e21, 3.63"
"6a1630b6678d30cff18d6d6a, 3.74"
"653d9bd37da5636bc74b625a, 3.87"
"63e40cde6487028afe7bec5d, 3.29"
"5df2148f55742510c539232e, 4.24"
"6a032a0fa681b9f50187ab7b, 3.54"
"69dc1e5832012277110d7fa5, 4.21"
"69ef7cc445b73b36f20ca693, 3.42"
"62c8945a3d4a6825d4996a2f, 3.52"
"6a1f6faaf426fe170ae99881, 3.61"
"6a117eb264af420864cf0bb4, 3.63"
"6976ae2360e60c787e85f239, 3.79"
"668dc78c1b388adf48d7f329, 3.58"
"69a0e7a04e8ff7f9964b7f47, 4.0"
"6a0bfa956af23415f5cb82c3, 4.11"
"60185b020c29360c5588cf22, 3.41"
"6a21f4c12774bbcebeeca3e7, 3.39"
"66c6683f6336ebf638da4db4, 3.58"
"6a0b111608a2b50d2e9f6040, 3.8"
"698b39ff3d496d059a22c9f5, 3.61"
"696052c668bf5df05dc13a7a, 4.36"
"69ffb64219d501a81d7e40c6, 3.66"
"5a5f7c21ac56240001543340, 3.95"
"6a0707fe48e88cfc234956ab, 3.59"
"69e1896d53cc4bb48204689f, 3.36"
"5f8820ba0fdd0c276b4d732c, 3.44"
"667d81a95170bdd075f74203, 3.5"
"695ffaceacb6d5f0382f8563, 3.59"
"69e162924b2e51bde8806af5, 3.65"
"695bf663d8fe1351746ac705, 3.8"
"69f3da8612013f312aabd3b3, 3.93"
"69f942a2d9efe806554c2dd0, 4.1"
"6a1db99410f52a9f0f01b44d, 3.25"
"69e6a58125397cb2600966e2, 3.46"
"69e8d5e7f1abaa500ce31a11, 3.8"
"6a0ada5d2213071b53b87ad8, 3.59"
"6a03459e5c3c329e6670a53e, 3.96"
"5996d2256b939900012d9f22, 3.58"
"61219fd8387ca59d07e0dc1c, 3.43"
"69bb774707224f55d8069f8b, 3.73"
"69fcb7d79e3cf2619c70ee2f, 4.82"
"6a24b27eabc0ca8edcee677e, 3.33"
"6a16d4790275f1a571e2fa4e, 4.12"
"697917f898b6e73223c25fd5, 4.17"
"6a2345035e9657b43637e4ee, 3.89"
"59cff8eed227970001199862, 4.16"
"6a15c578d09617330ff0f03d, 3.58"
"63782709326973c77adc3db8, 3.36"
"6a1890bd5df03242eb3ab012, 3.5"
"69fe2136c437c57da83a9912, 4.11"
"67d0c546e34a839a2c0d67a0, 3.93"
"6a0b87573768aba68294b3be, 3.54"
"69fc8ff6e44e316aab8e5b47, 3.5"
"69ee792c66e99d9dc5c7793f, 3.51"
"6a0351dea82c3941d87ce46c, 3.44"
"5ff4ebaadd8cf1c332708eea, 3.9"
"6a082bce62ec4f51e9e979fc, 3.62"
"67605f33e1626766c448e325, 3.43"
"5c6c260dce4e560001f75731, 3.45"
"69f0b9a0372b1d5b32167fc3, 3.5"
"69f23d475d7d045f5cb57993, 3.48"
"69d02eff48a96fc574287db0, 3.23"
"6a08d8f823b3cc312ea6d715, 3.38"
"6995f53429f164a4c9d209e8, 4.25"
"5f84e472052cf81ae5752252, 3.48"
"69fc82781ffa298db04922fd, 3.17"
"6a00f2185e367aafb7daf28d, 3.45"
"69f5a8aab6c4437820700d18, 3.46"
"6a07875ef323b1f66e483aa6, 3.6"
"698a0bac4d17a0fc23b4d40a, 3.55"
"69f6a9b7a7b418e1549df619, 3.64"
"6a0b2b3fa54870570f5c0540, 3.3"
"6a032a69ad4a5cdfc84fc79e, 4.24"
"69c2c1380709a1555a38b3b9, 3.72"
"6a1b21ad162348890ae2af23, 3.48"
"6983ab491e8425d0736b7da1, 3.26"
"633f4f203450d46b01e3d16b, 3.6"
"69fcef782d11d9b29973e124, 3.16"
"6a1b2a09786935f8d30783b2, 4.47"
"69fd8ab1f12667a1d32f9a68, 3.58"
"6a0a278fad5ca2506415e526, 3.77"
"6a122a5bce5ec1225ee62078, 3.94"
"67139698ab79b82f8afd1e93, 3.26"
"676055469b245b53e81358d0, 3.52"
