participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.consent,player.condition,player.user_agent_browser,player.user_agent_browser_version,player.user_agent_os,player.user_agent_os_version,player.user_agent_device,player.user_agent_is_bot,player.user_agent_is_mobile,player.user_agent_is_tablet,player.user_agent_is_pc,player.attention_check,player.attention_check_passed,player.q1,player.q2,player.q3,player.q4,player.q5,player.q6,player.self_assesment,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,ldp40t4o,6a215752a155484c322dae18,0,51,51,post_exp,FinalForProlific,2026-06-30 21:21:30.096643,1,,,137.15,1,,0.0,1,treatment,Chrome,149.0.0,Windows,10,Other,0,0,0,1,third_option,1,,,,,,,6,1,1,4ovtf4e6,,,,,0
2,nuvisjrw,6a00dc49200488c52c09e666,0,51,51,post_exp,FinalForProlific,2026-06-30 21:21:37.837695,1,,,115.63,2,,0.0,1,treatment,Chrome,149.0.0,Windows,10,Other,0,0,0,1,third_option,1,,,,,,,7,1,1,4ovtf4e6,,,,,0
3,ilzmwz6x,69b2e1f7c46a2d58800d4e92,0,51,51,post_exp,FinalForProlific,2026-06-30 21:21:42.555697,1,,,111.56,3,,0.0,1,treatment,Chrome,149.0.0,Mac OS X,10.15.7,Mac,0,0,0,1,third_option,1,,,,,,,5,1,1,4ovtf4e6,,,,,0
4,f9znzwup,69ef7af401f65f406ca12641,0,51,51,post_exp,FinalForProlific,2026-06-30 21:21:49.601448,1,,,119.38,4,,0.0,1,treatment,Chrome,149.0.0,Mac OS X,10.15.7,Mac,0,0,0,1,third_option,1,,,,,,,8,1,1,4ovtf4e6,,,,,0
5,sb98z4k1,63d50bed33ba8cb1b9794938,0,51,51,post_exp,FinalForProlific,2026-06-30 21:21:49.856539,1,,,147.98,5,,0.0,1,treatment,Chrome,149.0.0,Windows,10,Other,0,0,0,1,third_option,1,,,,,,,5,1,1,4ovtf4e6,,,,,0
6,85jrt09t,69f12a486ad4ab0dbc1683df,0,3,51,intro,comprehensionQuestions,2026-06-30 21:21:51.491172,1,,,0.0,6,,0.0,1,treatment,Chrome,149.0.0,Windows,10,Other,0,0,0,1,,,,,,,,,,1,1,4ovtf4e6,,,,,0
7,d3nq62n3,671a5785170a0f6380c51f28,0,51,51,post_exp,FinalForProlific,2026-06-30 21:21:53.241452,1,,,108.97,7,,0.0,1,treatment,Chrome,149.0.0,Windows,10,Other,0,0,0,1,third_option,1,,,,,,,6,1,1,4ovtf4e6,,,,,0
8,z1ylzdnk,6a20a83fda68fa4733fe7147,0,51,51,post_exp,FinalForProlific,2026-06-30 21:21:59.054109,1,,,127.63,8,,0.0,1,treatment,Chrome,150.0.0,Windows,10,Other,0,0,0,1,third_option,1,,,,,,,10,1,1,4ovtf4e6,,,,,0
9,m1zxzwoy,69d2f55a44cc1d7b5147cae0,0,2,51,intro,Instructions,2026-06-30 21:22:02.276612,1,,,0.0,9,,0.0,1,control,Chrome,148.0.0,Mac OS X,10.15.7,Mac,0,0,0,1,,,,,,,,,,1,1,4ovtf4e6,,,,,0
10,8419eo1k,59a9c0291b7a550001d6392e,0,51,51,post_exp,FinalForProlific,2026-06-30 21:22:05.475821,1,,,109.7,10,,0.0,1,control,Chrome,149.0.0,Windows,10,Other,0,0,0,1,third_option,1,,,,,,,8,1,1,4ovtf4e6,,,,,0
