participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.payable_round,player.payoff_for_trade,player.hl_switch_point,player.hl_draw_row,player.hl_draw_option,player.hl_draw_random,player.savings_interest,player.inflation_effect,player.bid_price_definition,player.mortgage_comparison,player.asset_fluctuations,player.investment_risk,player.long_term_returns,player.stock_mutual_fund_loss,player.bid_ask_spread,player.mutual_fund_statements,player.bond_investment,player.credit_card_payment,player.num_quiz_questions,player.num_correct_answers,player.payoff_for_quiz,player.payoff_for_quiz_expected,player.gender,player.age,player.nationality,player.education,player.study_major,player.course_financial,player.experiment_before,player.trading_experience,player.online_trading_experience,player.trading_frequency,player.portfolio_frequency,player.asset_class,player.use_leverage,player.purpose,player.difficulty,player.pilot_difficulty,player.pilot_instruction_clarity,player.pilot_unclear_open,player.pilot_payoff_understanding,player.pilot_interface_clarity,player.pilot_tech_issues,player.pilot_tech_issues_desc,player.pilot_flow_unsure_steps,player.pilot_one_change,player.pilot_surprises_mismatch,player.pilot_missing_info,player.pilot_confusing_wording,group.id_in_subsession,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
1,ldp40t4o,6a215752a155484c322dae18,0,51,51,post_exp,FinalForProlific,2026-06-30 21:21:30.096643,1,,,137.15,1,,137.15,4,0.0,6,8,B,0.1748157910184821,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Female,42,United Kingdom,master,Other,0,0,1,1,Monthly,Monthly,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
2,nuvisjrw,6a00dc49200488c52c09e666,0,51,51,post_exp,FinalForProlific,2026-06-30 21:21:37.837695,1,,,115.63,2,,115.63,14,0.0,6,1,A,0.5489078684110608,More than $112,Less than today,The price you personally choose when submitting a buy order.,True,Stocks,Decrease,Savings accounts,True,The average of the bid price and the ask price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,9,2.25,3.0,Male,38,United Kingdom,undergraduate: 4th year,Finance,1,1,1,1,Less than once a month,Weekly,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
3,ilzmwz6x,69b2e1f7c46a2d58800d4e92,0,51,51,post_exp,FinalForProlific,2026-06-30 21:21:42.555697,1,,,111.56,3,,111.56,14,0.0,7,10,B,0.6594088989689364,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Increase,Bonds,False,The difference between the lowest ask price and the highest bid price.,Don't know / Not sure,She has lent money to firm B,Between 10 and 15 years,12,7,1.75,3.0,Female,26,Canada,undergraduate: 4th year,Finance,0,0,1,1,Weekly,Weekly,"Derivatives (Options, Futures)",,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
4,f9znzwup,69ef7af401f65f406ca12641,0,51,51,post_exp,FinalForProlific,2026-06-30 21:21:49.601448,1,,,119.38,4,,119.38,12,0.0,11,10,A,0.9680486943683994,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Male,39,Nigeria,master,Other Management,1,1,1,1,Weekly,Multiple times a day,Cryptocurrencies,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
5,sb98z4k1,63d50bed33ba8cb1b9794938,0,51,51,post_exp,FinalForProlific,2026-06-30 21:21:49.856539,1,,,147.98,5,,147.98,9,0.0,6,7,B,0.2979058785843415,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She is liable for the company's debts,Never,12,11,2.75,3.0,Male,30,United Kingdom,undergraduate: 2nd year,Other,0,1,1,0,Multiple times a day,Multiple times a day,"Derivatives (Options, Futures)",,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
6,85jrt09t,69f12a486ad4ab0dbc1683df,0,3,51,intro,comprehensionQuestions,2026-06-30 21:21:51.491172,1,,,0.0,6,,0.0,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
7,d3nq62n3,671a5785170a0f6380c51f28,0,51,51,post_exp,FinalForProlific,2026-06-30 21:21:53.241452,1,,,108.97,7,,108.97,13,0.0,5,5,B,0.6897407329023705,Exactly $112,Less than today,The most recent price at which the security traded.,Don't know / Not sure,Stocks,Decrease,Stocks,False,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Between 5 and 10 years,12,7,1.75,3.0,Female,32,Nigeria,undergraduate: 4th year,Other,0,1,0,1,Monthly,Daily,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
8,z1ylzdnk,6a20a83fda68fa4733fe7147,0,51,51,post_exp,FinalForProlific,2026-06-30 21:21:59.054109,1,,,127.63,8,,127.63,7,0.0,5,3,A,0.12315723185411298,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Male,27,Canada,master,Finance,1,1,1,1,Multiple times a day,Daily,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
9,m1zxzwoy,69d2f55a44cc1d7b5147cae0,0,2,51,intro,Instructions,2026-06-30 21:22:02.276612,1,,,0.0,9,,0.0,11,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
10,8419eo1k,59a9c0291b7a550001d6392e,0,51,51,post_exp,FinalForProlific,2026-06-30 21:22:05.475821,1,,,109.7,10,,109.7,5,0.0,6,7,B,0.8002372667668403,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Female,43,United Kingdom,undergraduate: 4th year,Other Management,1,0,1,1,Less than once a month,Less than once a month,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
11,ks0tot8i,6a087102490a86b035b41f9c,0,51,51,post_exp,FinalForProlific,2026-06-30 21:22:09.151869,1,,,133.93,11,,133.93,7,0.0,5,8,B,0.09636675602552924,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Male,54,United States,master,Finance,0,1,0,0,Less than once a month,Less than once a month,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
12,uf749rid,66d40c57f897feb5421947d4,0,51,51,post_exp,FinalForProlific,2026-06-30 21:22:10.965892,1,,,115.06,12,,115.06,4,0.0,6,10,B,0.15825331579201507,More than $112,Less than today,Don't know / Not sure,True,Stocks,Decrease,Stocks,True,The average of the bid price and the ask price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Between 10 and 15 years,12,9,2.25,3.0,Male,39,Canada,undergraduate: 4th year,Economics,0,0,0,1,Monthly,Less than once a month,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
13,fc05lohp,6a1f03c7db3ac189886daa83,0,51,51,post_exp,FinalForProlific,2026-06-30 21:22:11.738090,1,,,130.32,13,,130.32,4,0.0,6,9,B,0.6743812753915085,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,12,3.0,3.0,Male,30,United Kingdom,master,Other,1,0,1,1,Monthly,Weekly,Cryptocurrencies,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
14,f7aeh1r7,67a91040bf728e35b7493957,0,51,51,post_exp,FinalForProlific,2026-06-30 21:22:13.734897,1,,,117.65,14,,117.65,6,0.0,4,6,B,0.11523870848005724,Exactly $112,Less than today,The most recent price at which the security traded.,True,Stocks,Decrease,Stocks,True,The difference between the lowest ask price and the highest bid price.,Mutual funds pay a guaranteed rate of return which depends on their past performance,She has lent money to firm B,Between 5 and 10 years,12,8,2.0,3.0,Female,51,United States,undergraduate: 2nd year,Other,0,0,1,0,Less than once a month,Less than once a month,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
15,gdwnus1t,6a17804639c4e588a70562ae,0,51,51,post_exp,FinalForProlific,2026-06-30 21:22:15.154799,1,,,123.4,15,,123.4,4,0.0,11,5,A,0.11551086544057032,More than $112,Less than today,The highest price a buyer is currently willing to pay.,True,Stocks,Decrease,Stocks,False,The difference between the lowest ask price and the highest bid price.,"Mutual funds can invest in several assets, for example invest in both stocks and bonds",She has lent money to firm B,Never,12,11,2.75,3.0,Female,35,United States,undergraduate: 4th year,Other,0,1,1,1,Monthly,Weekly,Stocks,,,,,,,,,,,,,,,,1,1,4ovtf4e6,,,,,0
