round_number,seed,informative,in_sample_corr,next_return,last_return,last_imbalance
1,13,1,0.745583268650352,22.7270372184755,24.8299647932739,-3.45142346112453
2,6,0,-0.0014829747819348,17.25651292143,15.6552619854883,-10.6145146455845
3,5385,1,0.75123029555302,16.8775714200622,14.5282644745692,7.35487993020429
4,11687,0,0.0029525457925444,19.2982240105404,15.3352032889933,8.30613918663683
5,3851,1,0.755494872439202,-8.79848578409706,15.1098174886843,-18.5046274258981
6,930,0,-0.0034912595248901,17.9942787562462,15.3738697895262,10.1008360062988
7,4107,0,-0.0032343116664907,27.2611152781865,15.0728085690886,8.27693716878569
8,11983,1,0.753510874850521,-4.77007384032043,15.1796074842736,-8.69500157023721
9,1434,1,0.751525122266218,30.3829281992374,15.5031697191143,8.37348426153206
10,1887,1,0.744737959177601,6.32159774566318,15.0827396168302,-10.7034666037922
11,798,0,0.0091395234823527,37.6588629338984,15.1659550204512,-10.6498152440075
12,101,1,0.748910254908351,12.2928746925969,15.2098450069864,9.07079175282812
13,1097,0,0.0077353216655632,22.4078126217597,14.8724659161298,-11.2220986754594
14,10420,0,0.0017261856415529,-0.72398951649168,14.8851744288267,-8.78871018746978
