		(1)	(2)	(3)	(4)	(5)
VARIABLES	LABELS	Belief informative	Belief informative	Belief informative	Belief informative	Belief informative
						
paid_informative	Paid round $\times$ Informative	-0.01	-0.00	-0.04		
		(-0.07)	(-0.05)	(-0.55)		
paid_uninformative	Paid round $\times$ Uninformative	0.08	0.09	0.09**		
		(1.53)	(1.76)	(2.49)		
treated	Treated	0.11	0.11	0.12	0.10	0.10
		(1.09)	(1.30)	(1.46)	(1.09)	(1.34)
informative	Informative round	0.28***	0.28***	0.28***	0.25***	0.25***
		(4.66)	(4.83)	(4.75)	(4.63)	(4.89)
pay_choice	Choose to pay	-0.04	-0.04	-0.04	-0.04	-0.04
		(-0.33)	(-0.37)	(-0.41)	(-0.33)	(-0.37)
last_return_1	Last return	0.02	0.02		0.03	0.03
		(0.54)	(0.57)		(1.08)	(1.17)
last_imbalance_1	Last imbalance	-0.01	-0.01		-0.00	-0.00
		(-0.33)	(-0.77)		(-0.09)	(-0.25)
round_number	Round number	-0.03***	-0.03***		-0.03**	-0.03***
		(-3.24)	(-3.89)		(-3.06)	(-3.57)
overconfidence	Overconfidence	0.00			0.00	
		(0.00)			(0.01)	
fin_quiz	Financial quiz score	-0.07			-0.07	
		(-1.42)			(-1.43)	
gender_female	Gender (female)	0.00			0.00	
		(0.03)			(0.02)	
age	Age	-0.01			-0.01	
		(-0.26)			(-0.27)	
finance_course	Finance course taken	0.02			0.02	
		(0.25)			(0.23)	
trading_experience	Trading experience	0.06			0.06	
		(0.82)			(0.83)	
risk_aversion	Risk tolerance	-0.03			-0.03	
		(-1.06)			(-1.07)	
paid_round	Paid round				0.05	0.05
					(0.86)	(1.05)
Constant	Constant	0.49***	0.53***	0.53***	0.50***	0.55***
		(5.62)	(6.40)	(6.23)	(5.90)	(7.03)
						
Observations		341	341	341	341	341
R-squared		0.12	0.10	0.09	0.11	0.09
Robust t-statistics in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
